,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2200d24,5f3ba6213fd5b671b220550c,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
1,5f3ba61f3fd5b671b2200d24,5f3ba6223fd5b671b22055e2,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
2,5f3ba61f3fd5b671b2200d24,5f3ba6213fd5b671b220554e,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
3,5f3ba61f3fd5b671b2200d24,5f3ba6213fd5b671b22054fe,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
4,5f3ba61f3fd5b671b2200e99,5f3ba6213fd5b671b220550c,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200e99,5f3ba6223fd5b671b22055e2,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2200e99,5f3ba6213fd5b671b220554e,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200e99,5f3ba6213fd5b671b22054fe,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200dca,5f3ba6213fd5b671b220550c,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
9,5f3ba61f3fd5b671b2200dca,5f3ba6223fd5b671b22055e2,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
10,5f3ba61f3fd5b671b2200dca,5f3ba6213fd5b671b220554e,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
11,5f3ba61f3fd5b671b2200dca,5f3ba6213fd5b671b22054fe,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
12,5f3ba61f3fd5b671b2200d5a,5f3ba6223fd5b671b22055a2,1,/,/,1.0,0.0,/,/,/,/,/,/,53,53,1.0
13,5f3ba61f3fd5b671b2200f43,5f3ba6223fd5b671b22055a2,1,/,/,1.0,0.0,/,/,/,/,/,/,53,53,1.0
14,5f3ba61f3fd5b671b2200e12,5f3ba6223fd5b671b22055a2,1,/,/,1.0,0.0,/,/,/,/,/,/,53,53,1.0
15,5f3ba61f3fd5b671b2200e4a,5f3ba6223fd5b671b22055a2,1,/,/,1.0,0.0,/,/,/,/,/,/,53,53,1.0
16,5f3ba61f3fd5b671b2200d7e,5f3ba6223fd5b671b22055ca,1,/,/,1.0,0.5,/,/,/,/,/,/,54,54,1.0
17,5f3ba61f3fd5b671b2200d7e,5f3ba6223fd5b671b22055bb,1,/,/,0.8695652173913043,0.2857142857142857,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2200d7e,5f3ba6223fd5b671b22055f5,1,/,/,0.8888888888888888,0.1428571428571428,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b2200faa,5f3ba6223fd5b671b22055ca,1,/,/,0.8444444444444444,0.1428571428571428,/,/,/,/,0,/,,,0.0
20,5f3ba61f3fd5b671b2200faa,5f3ba6223fd5b671b22055bb,1,/,/,0.8444444444444444,0.1428571428571428,/,/,/,/,0,/,,,0.0
21,5f3ba61f3fd5b671b2200faa,5f3ba6223fd5b671b22055f5,1,/,/,0.8636363636363636,0.1666666666666666,/,/,/,/,0,/,,,0.0
22,5f3ba61f3fd5b671b2200f2a,5f3ba6223fd5b671b22055ca,1,/,/,0.8444444444444444,0.1428571428571428,/,/,/,/,0,/,,,0.0
23,5f3ba61f3fd5b671b2200f2a,5f3ba6223fd5b671b22055bb,1,/,/,0.8444444444444444,0.1428571428571428,/,/,/,/,0,/,,,0.0
24,5f3ba61f3fd5b671b2200f2a,5f3ba6223fd5b671b22055f5,1,/,/,0.8636363636363636,0.1666666666666666,/,/,/,/,0.22933333333333328,/,,,0.0
25,5f3ba61f3fd5b671b2201039,5f3ba6223fd5b671b22055ca,1,/,/,1.0,0.5,/,/,/,/,/,/,54,54,1.0
26,5f3ba61f3fd5b671b2201039,5f3ba6223fd5b671b22055bb,1,/,/,0.8695652173913043,0.2857142857142857,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2201039,5f3ba6223fd5b671b22055f5,1,/,/,0.8888888888888888,0.1428571428571428,/,/,/,/,/,/,,,0.0
