,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2200d24,5f3ba6213fd5b671b22051cc,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
1,5f3ba61f3fd5b671b2200e99,5f3ba6213fd5b671b22051cc,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2200d7e,5f3ba6213fd5b671b22051fb,1,/,/,0.6486486486486487,1.0,/,/,/,/,/,/,54,54,1.0
3,5f3ba61f3fd5b671b2200d7e,5f3ba6213fd5b671b2205281,1,/,/,0.4864864864864865,0.3333333333333333,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2200d7e,5f3ba6213fd5b671b2205214,1,/,/,0.8888888888888888,0.375,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200faa,5f3ba6213fd5b671b22051fb,1,/,/,0.4444444444444444,0.2222222222222222,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2200faa,5f3ba6213fd5b671b2205281,1,/,/,0.4444444444444444,0.2222222222222222,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200faa,5f3ba6213fd5b671b2205214,1,/,/,0.8636363636363636,0.25,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200f41,5f3ba6213fd5b671b22051fb,1,/,/,0.4864864864864865,0.3333333333333333,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200f41,5f3ba6213fd5b671b2205281,1,/,/,0.6486486486486487,1.0,/,/,/,/,/,/,878,878,1.0
10,5f3ba61f3fd5b671b2200f41,5f3ba6213fd5b671b2205214,1,/,/,0.8444444444444444,0.2222222222222222,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2201100,5f3ba6213fd5b671b22051fb,1,/,/,0.2941176470588235,0.0833333333333333,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2201100,5f3ba6213fd5b671b2205281,1,/,/,0.2941176470588235,0.0833333333333333,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2201100,5f3ba6213fd5b671b2205214,1,/,/,0.238095238095238,0.0909090909090909,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b22051ea,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2205200,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2205226,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2200dc4,5f3ba6213fd5b671b22051ea,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2200dc4,5f3ba6213fd5b671b2205200,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b2200dc4,5f3ba6213fd5b671b2205226,1,/,/,1.0,1.0,/,/,/,/,/,/,67,67,1.0
20,5f3ba61f3fd5b671b220106c,5f3ba6213fd5b671b22051ea,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b220106c,5f3ba6213fd5b671b2205200,1,/,/,0.4848484848484848,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b220106c,5f3ba6213fd5b671b2205226,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2200f0b,5f3ba6213fd5b671b22051ea,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b2200f0b,5f3ba6213fd5b671b2205200,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b2200f0b,5f3ba6213fd5b671b2205226,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2200dd9,5f3ba6213fd5b671b22051fd,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2200dc8,5f3ba6213fd5b671b22051fd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
28,5f3ba61f3fd5b671b2200ded,5f3ba6213fd5b671b2205239,1,/,/,0.7555555555555555,0.125,/,/,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b2200e08,5f3ba6213fd5b671b2205239,1,/,/,1.0,1.0,/,/,/,/,/,/,325,325,1.0
30,5f3ba61f3fd5b671b2200e5f,5f3ba6213fd5b671b2205239,1,/,/,0.7555555555555555,0.125,/,/,/,/,/,/,,,0.0
31,5f3ba61f3fd5b671b2200f14,5f3ba6213fd5b671b2205239,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
32,5f3ba61f3fd5b671b2200df1,5f3ba6213fd5b671b2205239,1,/,/,0.8372093023255814,0.1666666666666666,/,/,/,/,/,/,,,0.0
33,5f3ba61f3fd5b671b22010b1,5f3ba6213fd5b671b2205239,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
34,5f3ba61f3fd5b671b2200d55,5f3ba6213fd5b671b2205239,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
35,5f3ba61f3fd5b671b22010f1,5f3ba6213fd5b671b2205239,1,/,/,0.5641025641025641,0.1428571428571428,/,/,/,/,/,/,,,0.0
