,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2200d24,5f3ba6213fd5b671b2204f3e,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
1,5f3ba61f3fd5b671b2200d24,5f3ba6213fd5b671b2204e60,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2200e99,5f3ba6213fd5b671b2204f3e,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2200e99,5f3ba6213fd5b671b2204e60,1,/,/,1.0,1.0,/,/,/,/,/,/,908,908,1.0
4,5f3ba61f3fd5b671b2200d5a,5f3ba6213fd5b671b2204ef5,1,/,/,1.0,1.0,/,/,/,/,/,/,53,53,1.0
5,5f3ba61f3fd5b671b2200d5c,5f3ba6213fd5b671b2204d28,1,/,/,0.3571428571428571,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2200d7e,5f3ba6213fd5b671b2204def,1,/,/,0.8695652173913043,0.3333333333333333,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200faa,5f3ba6213fd5b671b2204def,1,/,/,0.8444444444444444,0.2222222222222222,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200f41,5f3ba6213fd5b671b2204def,1,/,/,1.0,1.0,/,/,/,/,/,/,878,878,1.0
9,5f3ba61f3fd5b671b2201100,5f3ba6213fd5b671b2204def,1,/,/,0.2325581395348837,0.0833333333333333,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2200d96,5f3ba6213fd5b671b2204ebc,1,/,/,1.0,1.0,/,/,/,/,/,/,513,513,1.0
11,5f3ba61f3fd5b671b2200d96,5f3ba6213fd5b671b2204e33,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b22010da,5f3ba6213fd5b671b2204ebc,1,/,/,0.8837209302325582,0.4,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b22010da,5f3ba6213fd5b671b2204e33,1,/,/,0.8372093023255814,0.1666666666666666,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b22010e1,5f3ba6213fd5b671b2204ebc,1,/,/,0.5,0.125,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b22010e1,5f3ba6213fd5b671b2204e33,1,/,/,0.5,0.125,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2200e1f,5f3ba6213fd5b671b2204ebc,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2200e1f,5f3ba6213fd5b671b2204e33,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2200fbb,5f3ba6213fd5b671b2204ebc,1,/,/,0.8636363636363636,0.3333333333333333,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b2200fbb,5f3ba6213fd5b671b2204e33,1,/,/,0.8636363636363636,0.1428571428571428,/,/,/,/,/,/,,,0.0
20,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204e77,1,/,/,1.0,1.0,/,/,/,/,/,/,435,435,1.0
21,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204d5a,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204cd4,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204d3c,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204db0,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204d84,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2200dd8,5f3ba6213fd5b671b2204dae,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2200dc4,5f3ba6213fd5b671b2204e77,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
