,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22003c3,5f3ba6213fd5b671b2204d78,1,/,/,0.4761904761904761,0.1,/,/,/,/,/,/,182,182,1.0
1,5f3ba61e3fd5b671b220040e,5f3ba6213fd5b671b2204d78,1,/,/,0.4761904761904761,0.1,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b22003cc,5f3ba6213fd5b671b2204d78,1,/,/,0.4761904761904761,0.1,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b22003f7,5f3ba6213fd5b671b2204d4e,1,/,/,1.0,1.0,/,/,/,/,/,/,100,100,1.0
4,5f3ba61e3fd5b671b2200408,5f3ba6213fd5b671b2204ed9,1,/,/,0.358974358974359,0.2727272727272727,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200408,5f3ba6213fd5b671b2204d2a,1,/,/,0.5128205128205128,0.75,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b2200408,5f3ba6213fd5b671b2204f30,1,/,/,0.35,0.25,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b22003fd,5f3ba6213fd5b671b2204ed9,1,/,/,0.4864864864864865,0.3333333333333333,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22003fd,5f3ba6213fd5b671b2204d2a,1,/,/,0.6486486486486487,1.0,/,/,/,/,/,/,60,60,1.0
9,5f3ba61e3fd5b671b22003fd,5f3ba6213fd5b671b2204f30,1,/,/,0.3684210526315789,0.3,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b22003e4,5f3ba6213fd5b671b2204ed9,1,/,/,0.358974358974359,0.2727272727272727,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b22003e4,5f3ba6213fd5b671b2204d2a,1,/,/,0.5128205128205128,0.75,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22003e4,5f3ba6213fd5b671b2204f30,1,/,/,0.35,0.25,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204e22,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204ec3,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204cc9,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204d11,1,/,/,0.5625,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204d2f,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204ee9,1,/,/,0.7142857142857143,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204dd7,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,925,925,1.0
20,5f3ba61e3fd5b671b220040b,5f3ba6213fd5b671b2204dd9,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204e22,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204ec3,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204cc9,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204d11,1,/,/,0.8823529411764706,1.0,/,/,/,/,/,/,147,147,1.0
25,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204d2f,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204ee9,1,/,/,0.4666666666666667,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204dd7,1,/,/,0.6857142857142857,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b2200418,5f3ba6213fd5b671b2204dd9,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b2200415,5f3ba6213fd5b671b2204dc7,1,/,/,1.0,1.0,/,/,/,/,/,/,661,661,1.0
30,5f3ba61e3fd5b671b2200429,5f3ba6213fd5b671b2204f86,1,/,/,0.6285714285714286,1.0,/,/,/,/,/,/,204,204,1.0
31,5f3ba61e3fd5b671b2200429,5f3ba6213fd5b671b2204ec7,1,/,/,0.4571428571428571,0.25,/,/,/,/,/,/,,,0.0
32,5f3ba61e3fd5b671b2200429,5f3ba6213fd5b671b2204f24,1,/,/,0.4571428571428571,0.25,/,/,/,/,/,/,,,0.0
33,5f3ba61e3fd5b671b2200429,5f3ba6213fd5b671b2204f27,1,/,/,0.3333333333333333,0.2222222222222222,/,/,/,/,/,/,,,0.0
34,5f3ba61e3fd5b671b220040c,5f3ba6213fd5b671b2204f86,1,/,/,0.4571428571428571,0.25,/,/,/,/,/,/,,,0.0
35,5f3ba61e3fd5b671b220040c,5f3ba6213fd5b671b2204ec7,1,/,/,0.6285714285714286,1.0,/,/,/,/,/,/,108,108,1.0
36,5f3ba61e3fd5b671b220040c,5f3ba6213fd5b671b2204f24,1,/,/,0.4571428571428571,0.25,/,/,/,/,/,/,,,0.0
37,5f3ba61e3fd5b671b220040c,5f3ba6213fd5b671b2204f27,1,/,/,0.3333333333333333,0.2222222222222222,/,/,/,/,/,/,,,0.0
38,5f3ba61e3fd5b671b220043b,5f3ba6213fd5b671b2204f36,1,/,/,0.6521739130434783,0.2,/,/,/,/,/,/,,,0.0
39,5f3ba61e3fd5b671b220043b,5f3ba6213fd5b671b2204e1b,1,/,/,0.3076923076923077,0.1428571428571428,/,/,/,/,/,/,,,0.0
40,5f3ba61e3fd5b671b220044c,5f3ba6213fd5b671b2204dd3,1,/,/,1.0,1.0,/,/,/,/,/,/,213,213,1.0
41,5f3ba61e3fd5b671b220044c,5f3ba6213fd5b671b2204d20,1,/,/,0.8205128205128205,0.0,/,/,/,/,/,/,,,0.0
42,5f3ba61e3fd5b671b22003a6,5f3ba6213fd5b671b2204ecd,1,/,/,0.7906976744186046,1.0,/,/,/,/,/,/,313,313,1.0
