,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b22006e9,/,/,0,0.3703703703703703,0.0,/,/,/,/,0,1.0,,,0.0
1,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b2200716,/,/,0,0.3703703703703703,0.0,/,/,/,/,0,1.0,,,0.0
2,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b220069f,/,/,0,0.3571428571428571,0.0,/,/,/,/,0,1.0,,,0.0
3,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b220070f,/,/,0,0.3571428571428571,0.0,/,/,/,/,0,/,,,0.0
4,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b2200713,/,/,/,0.9166666666666666,0.0,/,/,/,/,0.6094335570469795,1.0,230,230,1.0
5,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b22006d1,/,/,/,0.9166666666666666,0.0,/,/,/,/,/,/,230,230,1.0
6,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b22006e0,/,/,0,0.3703703703703703,0.0,/,/,/,/,0,1.0,,,0.0
7,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b220073d,/,/,0,0.3703703703703703,0.0,/,/,/,/,0,1.0,,,0.0
8,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b22006b3,/,/,0,0.3571428571428571,0.0,/,/,/,/,0,1.0,,,0.0
9,5f3ba61e3fd5b671b22001da,5f3ba61e3fd5b671b220074c,/,/,0,0.3703703703703703,0.0,/,/,/,/,0,1.0,,,0.0
10,5f3ba61e3fd5b671b22001e9,5f3ba61e3fd5b671b22006d0,1,/,/,0.7272727272727273,0.0,/,/,0.9727437916414293,1.0,0.5712470175438598,1.0,220,220,1.0
11,5f3ba61e3fd5b671b22001e9,5f3ba61e3fd5b671b220071e,1,/,/,1.0,1.0,/,/,0.9747474747474748,1.0,0.909451578947368,1.0,,,0.0
12,5f3ba61e3fd5b671b22001e9,5f3ba61e3fd5b671b220071a,1,/,/,1.0,1.0,/,/,0.9727437916414293,1.0,/,1.0,,,0.0
13,5f3ba61e3fd5b671b22001e9,5f3ba61e3fd5b671b22006ba,1,/,/,1.0,1.0,/,/,/,1.0,0.5712470175438598,1.0,220,220,1.0
