,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200202,5f3ba61e3fd5b671b22003f8,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,0,1.0,,,0.0
1,5f3ba61e3fd5b671b22001e4,5f3ba61e3fd5b671b22003f8,1,/,/,0.3529411764705882,0.3333333333333333,/,/,0.6551724137931036,0.14814814814814825,0,1.0,,,0.0
2,5f3ba61e3fd5b671b220021b,5f3ba61e3fd5b671b22003f8,1,/,/,0.3529411764705882,0.3333333333333333,/,/,0.6551724137931036,0.14814814814814825,0,1.0,,,0.0
3,5f3ba61e3fd5b671b220022f,5f3ba61e3fd5b671b22003df,1,/,/,1.0,1.0,/,1.0,1.0,1.0,1.0,/,174,174,1.0
4,5f3ba61e3fd5b671b22001e0,5f3ba61e3fd5b671b22003df,1,/,/,1.0,1.0,/,1.0,1.0,1.0,1.0,/,174,174,1.0
5,5f3ba61e3fd5b671b2200239,5f3ba61e3fd5b671b220043b,1,/,/,0.2608695652173913,0.1428571428571428,1.0,0.33333333333333337,1.0,0.8809523809523814,0.9475065616797901,1.0,,,0.0
6,5f3ba61e3fd5b671b2200239,5f3ba61e3fd5b671b2200421,1,/,/,0.2608695652173913,0.1428571428571428,1.0,0.33333333333333337,1.0,0.8809523809523814,0.9475065616797901,1.0,,,0.0
7,5f3ba61e3fd5b671b220023a,5f3ba61e3fd5b671b220043b,1,/,/,0.2608695652173913,0.1428571428571428,1.0,0.33333333333333337,1.0,0.8809523809523814,0.8717948717948718,1.0,,,0.0
8,5f3ba61e3fd5b671b220023a,5f3ba61e3fd5b671b2200421,1,/,/,0.2608695652173913,0.1428571428571428,1.0,0.33333333333333337,1.0,0.8809523809523814,0.8717948717948718,1.0,,,0.0
9,5f3ba61e3fd5b671b22001de,5f3ba61e3fd5b671b2200454,1,/,/,0.3243243243243243,0.1666666666666666,/,/,/,/,0,1.0,,,0.0
10,5f3ba61e3fd5b671b22001de,5f3ba61e3fd5b671b220041b,1,/,/,0.3243243243243243,0.1666666666666666,/,/,/,/,0,1.0,,,0.0
11,5f3ba61e3fd5b671b220020d,5f3ba61e3fd5b671b2200454,1,/,/,0.8636363636363636,0.6,0,1.0,1.0,1.0,0.7026022304832713,1.0,124,124,1.0
12,5f3ba61e3fd5b671b220020d,5f3ba61e3fd5b671b220041b,1,/,/,0.8636363636363636,0.6,0,1.0,1.0,1.0,0.7026022304832713,1.0,124,124,1.0
13,5f3ba61e3fd5b671b2200227,5f3ba61e3fd5b671b2200454,1,/,/,0.8636363636363636,0.6,0,1.0,1.0,1.0,0.7026022304832713,1.0,124,124,1.0
14,5f3ba61e3fd5b671b2200227,5f3ba61e3fd5b671b220041b,1,/,/,0.8636363636363636,0.6,0,1.0,1.0,1.0,0.7026022304832713,1.0,124,124,1.0
15,5f3ba61e3fd5b671b2200218,5f3ba61e3fd5b671b2200454,1,/,/,0.3243243243243243,0.1666666666666666,/,/,0.4736842105263155,0,0,1.0,,,0.0
