,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b2205209,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,0.034929565929565864,1.0,,,0.0
1,5f3ba61e3fd5b671b220022f,5f3ba6213fd5b671b2205266,1,/,/,0.6285714285714286,1.0,/,/,/,/,/,/,174,174,1.0
2,5f3ba61e3fd5b671b2200239,5f3ba6213fd5b671b220525d,1,/,/,0.3636363636363636,0.1111111111111111,1.0,0.33333333333333337,0,0,0.9406246719160107,1.0,,,0.0
3,5f3ba61e3fd5b671b22001dd,5f3ba6213fd5b671b220522c,1,/,/,0.5789473684210527,0.75,/,/,/,/,/,0.3333333333333333,38,38,1.0
4,5f3ba61e3fd5b671b22001de,5f3ba6213fd5b671b22051fa,1,/,/,0.3428571428571428,0.25,/,/,/,/,0,1.0,,,0.0
5,5f3ba61e3fd5b671b220020d,5f3ba6213fd5b671b22051fa,1,/,/,1.0,1.0,0,1.0,0,0,0.9960363173582382,1.0,124,124,1.0
6,5f3ba61e3fd5b671b22001e7,5f3ba6213fd5b671b2205245,1,/,/,0.5,0.4,/,/,/,/,/,0.17647058823529413,152,152,1.0
7,5f3ba61e3fd5b671b22001ff,5f3ba6213fd5b671b220522f,1,/,/,1.0,1.0,/,/,/,/,/,/,72,72,1.0
8,5f3ba61e3fd5b671b2200236,5f3ba6213fd5b671b220523f,1,/,/,1.0,1.0,/,/,/,/,0.9303753671348078,1.0,98,98,1.0
9,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b22051ea,1,/,/,0.6428571428571429,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
10,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2205200,1,/,/,0.8275862068965517,1.0,/,/,/,/,/,0.3333333333333333,113,113,1.0
11,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2205226,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200225,5f3ba6213fd5b671b220521d,1,/,/,1.0,1.0,/,/,/,/,/,1.0,36,36,1.0
13,5f3ba61e3fd5b671b22001f5,5f3ba6213fd5b671b220521a,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200200,5f3ba6213fd5b671b220527f,1,/,/,0.5294117647058824,0.5,/,/,/,/,/,0.25,17,17,1.0
15,5f3ba61e3fd5b671b2200234,5f3ba6213fd5b671b22051de,1,/,/,1.0,1.0,1.0,1.0,0,0,0.5820407801418439,0.3333333333333333,141,141,1.0
16,5f3ba61e3fd5b671b2200222,5f3ba6213fd5b671b2205220,1,/,/,0.3870967741935484,0.25,/,/,/,/,/,0.19047619047619047,215,215,1.0
17,5f3ba61e3fd5b671b220022a,5f3ba6213fd5b671b22051f6,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,0.3333333333333333,136,136,1.0
18,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2205210,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
19,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2205238,1,/,/,0.5625,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
20,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2205224,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
21,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2205210,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
22,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2205238,1,/,/,0.5625,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
23,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2205224,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
24,5f3ba61e3fd5b671b2200237,5f3ba6213fd5b671b22051df,1,/,/,1.0,1.0,/,/,/,/,/,/,950,950,1.0
25,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2205275,1,/,/,0.5,0.0,/,/,/,/,/,0.2857142857142857,,,0.0
26,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2205212,1,/,/,0.4705882352941176,0.0,/,/,/,/,/,0.2857142857142857,,,0.0
27,5f3ba61e3fd5b671b22001f3,5f3ba6213fd5b671b2205250,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
28,5f3ba61e3fd5b671b2200231,5f3ba6213fd5b671b2205241,1,/,/,0.6086956521739131,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b2200231,5f3ba6213fd5b671b220529a,1,/,/,1.0,1.0,/,/,/,/,/,/,927,927,1.0
30,5f3ba61e3fd5b671b2200231,5f3ba6213fd5b671b220522a,1,/,/,0.6363636363636364,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b2200210,5f3ba6213fd5b671b2205230,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,198,198,1.0
32,5f3ba61e3fd5b671b2200223,5f3ba6213fd5b671b2205285,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,83,83,1.0
33,5f3ba61e3fd5b671b2200216,5f3ba6213fd5b671b2205276,1,/,/,0.4,0.6666666666666666,/,/,/,/,/,0.25,506,506,1.0
34,5f3ba61e3fd5b671b220021f,5f3ba6213fd5b671b22051fb,1,/,/,0.64,0.2857142857142857,/,/,/,/,/,0.25,,,0.0
35,5f3ba61e3fd5b671b220021f,5f3ba6213fd5b671b2205281,1,/,/,0.72,0.5,/,/,/,/,/,0.25,878,878,1.0
36,5f3ba61e3fd5b671b220021f,5f3ba6213fd5b671b2205214,1,/,/,0.4242424242424242,0.1428571428571428,/,/,/,/,/,0.0,,,0.0
37,5f3ba61e3fd5b671b220022d,5f3ba6213fd5b671b22051fb,1,/,/,0.72,0.5,/,/,/,/,/,0.25,54,54,1.0
38,5f3ba61e3fd5b671b220022d,5f3ba6213fd5b671b2205281,1,/,/,0.64,0.2857142857142857,/,/,/,/,/,0.25,,,0.0
39,5f3ba61e3fd5b671b220022d,5f3ba6213fd5b671b2205214,1,/,/,0.4242424242424242,0.1428571428571428,/,/,/,/,/,0.0,,,0.0
40,5f3ba61e3fd5b671b2200201,5f3ba6213fd5b671b220525e,1,/,/,0.2702702702702703,0.0,/,/,0,0,0,1.0,,,0.0
