,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22001da,5f3ba6213fd5b671b2204d71,/,/,/,0.9166666666666666,1.0,/,/,/,/,/,/,230,230,1.0
1,5f3ba61e3fd5b671b22001f0,5f3ba6213fd5b671b2204e1c,1,/,/,1.0,1.0,/,/,/,/,/,/,1683,1683,1.0
2,5f3ba61e3fd5b671b22001f4,5f3ba6213fd5b671b2204f82,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
3,5f3ba61e3fd5b671b22001f4,5f3ba6213fd5b671b2204db6,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b2204f5b,1,/,/,1.0,1.0,/,/,/,/,/,/,228,228,1.0
5,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b2204e3a,1,/,/,0.4117647058823529,0.3333333333333333,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b2204d48,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b220022f,5f3ba6213fd5b671b2204dea,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b220022f,5f3ba6213fd5b671b2204cfa,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b220022f,5f3ba6213fd5b671b2204e07,1,/,/,0.8,1.0,/,/,/,/,/,/,174,174,1.0
10,5f3ba61e3fd5b671b2200239,5f3ba6213fd5b671b2204f36,1,/,/,0.3809523809523809,0.1428571428571428,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b2200239,5f3ba6213fd5b671b2204e1b,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,658,658,1.0
12,5f3ba61e3fd5b671b22001de,5f3ba6213fd5b671b2204e1a,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b22001de,5f3ba6213fd5b671b2204eb5,1,/,/,1.0,1.0,/,/,/,/,/,/,85,85,1.0
14,5f3ba61e3fd5b671b220020d,5f3ba6213fd5b671b2204e1a,1,/,/,1.0,1.0,/,/,/,/,/,/,124,124,1.0
15,5f3ba61e3fd5b671b220020d,5f3ba6213fd5b671b2204eb5,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b22001e9,5f3ba6213fd5b671b2204f6a,1,/,/,1.0,1.0,/,/,/,/,/,/,220,220,1.0
17,5f3ba61e3fd5b671b22001e9,5f3ba6213fd5b671b2204f20,1,/,/,1.0,1.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b22001ff,5f3ba6213fd5b671b2204ccc,1,/,/,1.0,1.0,/,/,/,/,/,/,72,72,1.0
19,5f3ba61e3fd5b671b2200219,5f3ba6213fd5b671b2204ddd,1,/,/,0.8571428571428571,0.1111111111111111,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b220022c,5f3ba6213fd5b671b2204f23,1,/,/,0.6060606060606061,1.0,/,/,/,/,/,/,203,203,1.0
21,5f3ba61e3fd5b671b22001f1,5f3ba6213fd5b671b2204f23,1,/,/,0.2941176470588235,0.125,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b2200236,5f3ba6213fd5b671b2204d7e,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
23,5f3ba61e3fd5b671b220023b,5f3ba6213fd5b671b2204cac,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,991,991,1.0
24,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204e77,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204d5a,1,/,/,0.6428571428571429,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204cd4,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204d3c,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204db0,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204d84,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
30,5f3ba61e3fd5b671b2200204,5f3ba6213fd5b671b2204dae,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b220020b,5f3ba6213fd5b671b2204ebe,1,/,/,0.5714285714285714,0.1111111111111111,/,/,/,/,/,/,,,0.0
32,5f3ba61e3fd5b671b220020b,5f3ba6213fd5b671b2204e9c,1,/,/,0.8571428571428571,0.1111111111111111,/,/,/,/,/,/,,,0.0
33,5f3ba61e3fd5b671b2200225,5f3ba6213fd5b671b2204cc3,1,/,/,1.0,1.0,/,/,/,/,/,/,36,36,1.0
34,5f3ba61e3fd5b671b220022b,5f3ba6213fd5b671b2204ed9,1,/,/,0.4705882352941176,0.2857142857142857,/,/,/,/,/,/,,,0.0
35,5f3ba61e3fd5b671b220022b,5f3ba6213fd5b671b2204d2a,1,/,/,0.5294117647058824,0.5,/,/,/,/,/,/,60,60,1.0
36,5f3ba61e3fd5b671b220022b,5f3ba6213fd5b671b2204f30,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
37,5f3ba61e3fd5b671b220023f,5f3ba6213fd5b671b2204ed9,1,/,/,0.5294117647058824,0.5,/,/,/,/,/,/,829,829,1.0
38,5f3ba61e3fd5b671b220023f,5f3ba6213fd5b671b2204d2a,1,/,/,0.4705882352941176,0.2857142857142857,/,/,/,/,/,/,,,0.0
39,5f3ba61e3fd5b671b220023f,5f3ba6213fd5b671b2204f30,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
40,5f3ba61e3fd5b671b22001f5,5f3ba6213fd5b671b2204e02,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
41,5f3ba61e3fd5b671b22001f5,5f3ba6213fd5b671b2204d0c,1,/,/,0.8571428571428571,0.1111111111111111,/,/,/,/,/,/,,,0.0
42,5f3ba61e3fd5b671b22001f7,5f3ba6213fd5b671b2204d22,1,/,/,0.7619047619047619,0.6666666666666666,/,/,/,/,/,/,149,149,1.0
43,5f3ba61e3fd5b671b2200200,5f3ba6213fd5b671b2204d98,1,/,/,0.4242424242424242,0.1428571428571428,/,/,/,/,/,/,,,0.0
44,5f3ba61e3fd5b671b2200200,5f3ba6213fd5b671b2204d8d,1,/,/,0.5294117647058824,0.5,/,/,/,/,/,/,17,17,1.0
45,5f3ba61e3fd5b671b2200234,5f3ba6213fd5b671b2204eeb,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
46,5f3ba61e3fd5b671b2200234,5f3ba6213fd5b671b2204df9,1,/,/,1.0,1.0,/,/,/,/,/,/,141,141,1.0
47,5f3ba61e3fd5b671b2200205,5f3ba6213fd5b671b2204d32,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
48,5f3ba61e3fd5b671b2200205,5f3ba6213fd5b671b2204cb6,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
49,5f3ba61e3fd5b671b2200209,5f3ba6213fd5b671b2204d5d,1,/,/,0.5555555555555556,0.1428571428571428,/,/,/,/,/,/,,,0.0
50,5f3ba61e3fd5b671b2200209,5f3ba6213fd5b671b2204d45,1,/,/,1.0,1.0,/,/,/,/,/,/,161,161,1.0
51,5f3ba61e3fd5b671b22001e8,5f3ba6213fd5b671b2204d5d,1,/,/,0.5882352941176471,0.2,/,/,/,/,/,/,,,0.0
52,5f3ba61e3fd5b671b22001e8,5f3ba6213fd5b671b2204d45,1,/,/,0.8571428571428571,0.6,/,/,/,/,/,/,,,0.0
53,5f3ba61e3fd5b671b2200222,5f3ba6213fd5b671b2204d73,1,/,/,0.3157894736842105,0.1818181818181818,/,/,/,/,/,/,,,0.0
54,5f3ba61e3fd5b671b220022a,5f3ba6213fd5b671b2204ed1,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,136,136,1.0
55,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204e22,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
56,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204ec3,1,/,/,1.0,1.0,/,/,/,/,/,/,47,47,1.0
57,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204cc9,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
58,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204d11,1,/,/,0.5625,0.0,/,/,/,/,/,/,,,0.0
59,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204d2f,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
60,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204ee9,1,/,/,0.7142857142857143,0.0,/,/,/,/,/,/,,,0.0
61,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204dd7,1,/,/,0.5454545454545454,0.0,/,/,/,/,/,/,,,0.0
62,5f3ba61e3fd5b671b220022e,5f3ba6213fd5b671b2204dd9,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
63,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204e22,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
64,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204ec3,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
65,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204cc9,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
66,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204d11,1,/,/,0.5625,0.0,/,/,/,/,/,/,,,0.0
67,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204d2f,1,/,/,1.0,1.0,/,/,/,/,/,/,94,94,1.0
68,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204ee9,1,/,/,0.7142857142857143,0.0,/,/,/,/,/,/,,,0.0
69,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204dd7,1,/,/,0.5454545454545454,0.0,/,/,/,/,/,/,,,0.0
70,5f3ba61e3fd5b671b2200238,5f3ba6213fd5b671b2204dd9,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
71,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2204f38,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
72,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2204d60,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
73,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2204d6d,1,/,/,0.3478260869565217,0.0,/,/,/,/,/,/,,,0.0
74,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2204ec2,1,/,/,0.2758620689655172,0.0,/,/,/,/,/,/,,,0.0
75,5f3ba61e3fd5b671b22001eb,5f3ba6213fd5b671b2204ce2,1,/,/,0.2666666666666666,0.0,/,/,/,/,/,/,,,0.0
76,5f3ba61e3fd5b671b22001ec,5f3ba6213fd5b671b2204e9e,1,/,/,1.0,1.0,/,/,/,/,/,/,733,733,1.0
77,5f3ba61e3fd5b671b22001ed,5f3ba6213fd5b671b2204dd3,1,/,/,1.0,1.0,/,/,/,/,/,/,213,213,1.0
78,5f3ba61e3fd5b671b22001ed,5f3ba6213fd5b671b2204d20,1,/,/,0.8205128205128205,0.0,/,/,/,/,/,/,,,0.0
79,5f3ba61e3fd5b671b22001f3,5f3ba6213fd5b671b2204e08,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
80,5f3ba61e3fd5b671b2200230,5f3ba6213fd5b671b2204e87,1,/,/,0.4,0.6666666666666666,/,/,/,/,/,/,668,668,1.0
81,5f3ba61e3fd5b671b2200231,5f3ba6213fd5b671b2204d62,1,/,/,1.0,1.0,/,/,/,/,/,/,927,927,1.0
82,5f3ba61e3fd5b671b2200231,5f3ba6213fd5b671b2204f3c,1,/,/,0.6363636363636364,0.0,/,/,/,/,/,/,,,0.0
83,5f3ba61e3fd5b671b2200203,5f3ba6213fd5b671b2204d93,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,66,66,1.0
84,5f3ba61e3fd5b671b2200210,5f3ba6213fd5b671b2204dc3,1,/,/,1.0,1.0,/,/,/,/,/,/,198,198,1.0
85,5f3ba61e3fd5b671b2200210,5f3ba6213fd5b671b2204cad,1,/,/,0.8372093023255814,0.1666666666666666,/,/,/,/,/,/,,,0.0
86,5f3ba61e3fd5b671b2200210,5f3ba6213fd5b671b2204ce3,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
87,5f3ba61e3fd5b671b2200223,5f3ba6213fd5b671b2204e00,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,83,83,1.0
88,5f3ba61e3fd5b671b2200224,5f3ba6213fd5b671b2204f59,1,/,/,0.7,0.0,/,/,/,/,/,/,,,0.0
89,5f3ba61e3fd5b671b2200224,5f3ba6213fd5b671b2204d54,1,/,/,1.0,1.0,/,/,/,/,/,/,259,259,1.0
90,5f3ba61e3fd5b671b22001e3,5f3ba6213fd5b671b2204d8a,1,/,/,0.5517241379310345,0.1666666666666666,/,/,/,/,/,/,,,0.0
91,5f3ba61e3fd5b671b22001e3,5f3ba6213fd5b671b2204cb4,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
92,5f3ba61e3fd5b671b2200232,5f3ba6213fd5b671b2204f86,1,/,/,0.4375,0.1666666666666666,/,/,/,/,/,/,,,0.0
93,5f3ba61e3fd5b671b2200232,5f3ba6213fd5b671b2204ec7,1,/,/,0.5,0.4,/,/,/,/,/,/,108,108,1.0
94,5f3ba61e3fd5b671b2200232,5f3ba6213fd5b671b2204f24,1,/,/,0.4375,0.1666666666666666,/,/,/,/,/,/,,,0.0
95,5f3ba61e3fd5b671b2200232,5f3ba6213fd5b671b2204f27,1,/,/,0.303030303030303,0.1428571428571428,/,/,/,/,/,/,,,0.0
96,5f3ba61e3fd5b671b22001fc,5f3ba6213fd5b671b2204cf5,1,/,/,1.0,0.5,/,/,/,/,/,/,76,76,1.0
97,5f3ba61e3fd5b671b220021c,5f3ba6213fd5b671b2204dc7,1,/,/,1.0,1.0,/,/,/,/,/,/,661,661,1.0
98,5f3ba61e3fd5b671b220023d,5f3ba6213fd5b671b2204eee,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
99,5f3ba61e3fd5b671b22001e6,5f3ba6213fd5b671b2204cae,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
100,5f3ba61e3fd5b671b22001e6,5f3ba6213fd5b671b2204d9d,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
101,5f3ba61e3fd5b671b2200216,5f3ba6213fd5b671b2204ddb,1,/,/,0.3636363636363636,0.3333333333333333,/,/,/,/,/,/,506,506,1.0
102,5f3ba61e3fd5b671b2200217,5f3ba6213fd5b671b2204cb9,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,720,720,1.0
103,5f3ba61e3fd5b671b220021f,5f3ba6213fd5b671b2204def,1,/,/,0.5294117647058824,0.5,/,/,/,/,/,/,878,878,1.0
104,5f3ba61e3fd5b671b220022d,5f3ba6213fd5b671b2204def,1,/,/,0.4705882352941176,0.2857142857142857,/,/,/,/,/,/,,,0.0
105,5f3ba61e3fd5b671b220023e,5f3ba6213fd5b671b2204e06,1,/,/,1.0,1.0,/,/,/,/,/,/,732,732,1.0
106,5f3ba61e3fd5b671b2200201,5f3ba6213fd5b671b2204ef3,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
107,5f3ba61e3fd5b671b2200201,5f3ba6213fd5b671b2204d95,1,/,/,0.8648648648648649,0.0,/,/,/,/,/,/,177,177,1.0
108,5f3ba61e3fd5b671b2200201,5f3ba6213fd5b671b2204d8f,1,/,/,0.717948717948718,0.0,/,/,/,/,/,/,,,0.0
