,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22001da,5f3ba6213fd5b671b22052bd,/,/,/,0.9166666666666666,1.0,/,/,/,/,/,/,230,230,1.0
1,5f3ba61e3fd5b671b22001da,5f3ba6213fd5b671b22052af,/,/,/,0.9166666666666666,1.0,/,/,/,/,/,/,230,230,1.0
2,5f3ba61e3fd5b671b22001da,5f3ba6213fd5b671b22053e0,/,/,/,0.9166666666666666,1.0,/,/,/,/,/,/,230,230,1.0
3,5f3ba61e3fd5b671b22001f4,5f3ba6213fd5b671b220532b,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
4,5f3ba61e3fd5b671b22001f4,5f3ba6213fd5b671b22052f8,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
5,5f3ba61e3fd5b671b22001f4,5f3ba6213fd5b671b22052b2,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
6,5f3ba61e3fd5b671b22001f4,5f3ba6213fd5b671b22052a8,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
7,5f3ba61e3fd5b671b220020a,5f3ba6213fd5b671b220532b,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
8,5f3ba61e3fd5b671b220020a,5f3ba6213fd5b671b22052f8,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
9,5f3ba61e3fd5b671b220020a,5f3ba6213fd5b671b22052b2,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
10,5f3ba61e3fd5b671b220020a,5f3ba6213fd5b671b22052a8,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
11,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b2205468,1,/,/,1.0,1.0,/,/,/,/,/,/,228,228,1.0
12,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b22053e1,1,/,/,1.0,1.0,/,/,/,/,/,/,228,228,1.0
13,5f3ba61e3fd5b671b2200202,5f3ba6213fd5b671b22052d6,1,/,/,1.0,1.0,/,/,/,/,/,/,228,228,1.0
