,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b22054a9,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
1,5f3ba6213fd5b671b22054a9,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
2,5f3ba6223fd5b671b22055b8,5f3ba61e3fd5b671b220072b,1,/,/,0.5517241379310345,0.3333333333333333,/,0,0.19760029996250517,0,0,/,,,0.0
3,5f3ba6223fd5b671b22055b8,5f3ba61e3fd5b671b220069d,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,0,/,,,0.0
4,5f3ba6223fd5b671b22055a7,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
5,5f3ba6223fd5b671b22055a7,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
6,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
7,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
8,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
9,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
10,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
11,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
12,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
13,5f3ba6213fd5b671b22054be,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
14,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
15,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
16,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
17,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
18,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
19,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
20,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
21,5f3ba6223fd5b671b22055be,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
22,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
23,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
24,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
25,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
26,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
27,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
28,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
29,5f3ba6223fd5b671b22055c4,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
30,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
31,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
32,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
33,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
34,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
35,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
36,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
37,5f3ba6213fd5b671b2205559,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
38,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b22006dd,1,/,/,0.5806451612903226,0.5,/,/,/,/,0,1.0,,,0.0
39,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b22006b9,1,/,/,0.5806451612903226,0.5,/,/,/,/,0,1.0,,,0.0
40,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b2200710,1,/,/,0.5806451612903226,0.5,/,/,/,/,0,1.0,,,0.0
41,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b22006fd,1,/,/,0.5806451612903226,0.5,/,/,/,/,0,1.0,,,0.0
42,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b220075b,1,/,/,0.5806451612903226,0.5,/,/,/,/,0,1.0,,,0.0
43,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b2200715,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
44,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b22006b0,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
45,5f3ba6213fd5b671b2205539,5f3ba61e3fd5b671b22006fb,1,/,/,0.5806451612903226,0.5,/,/,/,/,0,1.0,,,0.0
46,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
47,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
48,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
49,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
50,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
51,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
52,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
53,5f3ba6213fd5b671b220553b,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
54,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
55,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
56,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
57,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
58,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
59,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
60,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
61,5f3ba6223fd5b671b220556e,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
62,5f3ba6213fd5b671b22054c3,5f3ba61e3fd5b671b2200707,1,/,/,0.5,0.0,/,/,/,/,/,1.0,,,0.0
63,5f3ba6213fd5b671b22054c6,5f3ba61e3fd5b671b2200735,1,/,/,0.7096774193548387,0.4,/,/,/,/,/,0.06896551724137931,263,263,1.0
64,5f3ba6223fd5b671b22055a4,5f3ba61e3fd5b671b2200735,1,/,/,0.5333333333333333,0.2,0,/,/,/,/,0.2857142857142857,263,263,1.0
65,5f3ba6213fd5b671b22054e8,5f3ba61e3fd5b671b22006e8,1,/,/,1.0,1.0,/,/,/,/,0.6550374901960783,1.0,258,258,1.0
66,5f3ba6213fd5b671b22054e8,5f3ba61e3fd5b671b22006c7,1,/,/,1.0,1.0,/,/,/,/,0,1.0,258,258,1.0
67,5f3ba6213fd5b671b22054e8,5f3ba61e3fd5b671b22006b4,1,/,/,1.0,1.0,/,/,/,/,0,1.0,258,258,1.0
68,5f3ba6213fd5b671b22054c8,5f3ba61e3fd5b671b22006e8,1,/,/,0.5517241379310345,0.3333333333333333,/,0.16666666666666663,/,/,/,0.3333333333333333,,,0.0
69,5f3ba6213fd5b671b22054c8,5f3ba61e3fd5b671b22006c7,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,0.3333333333333333,,,0.0
70,5f3ba6213fd5b671b22054c8,5f3ba61e3fd5b671b22006b4,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,0.3333333333333333,,,0.0
71,5f3ba6223fd5b671b22055ba,5f3ba61e3fd5b671b22006e8,1,/,/,1.0,1.0,/,/,/,/,0.6550374901960783,1.0,258,258,1.0
72,5f3ba6223fd5b671b22055ba,5f3ba61e3fd5b671b22006c7,1,/,/,1.0,1.0,/,/,/,/,0,1.0,258,258,1.0
73,5f3ba6223fd5b671b22055ba,5f3ba61e3fd5b671b22006b4,1,/,/,1.0,1.0,/,/,/,/,0,1.0,258,258,1.0
74,5f3ba6213fd5b671b2205500,5f3ba61e3fd5b671b22006f4,1,/,/,0.7,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
75,5f3ba6213fd5b671b2205500,5f3ba61e3fd5b671b220071f,1,/,/,0.7,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
76,5f3ba6213fd5b671b2205523,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,/,/,/,/,238,238,1.0
77,5f3ba6213fd5b671b2205523,5f3ba61e3fd5b671b2200756,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
78,5f3ba6213fd5b671b2205523,5f3ba61e3fd5b671b220074b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
79,5f3ba6223fd5b671b22055ad,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,/,/,/,/,238,238,1.0
80,5f3ba6223fd5b671b22055ad,5f3ba61e3fd5b671b2200756,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
81,5f3ba6223fd5b671b22055ad,5f3ba61e3fd5b671b220074b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
82,5f3ba6223fd5b671b22055c2,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,/,/,/,/,238,238,1.0
83,5f3ba6223fd5b671b22055c2,5f3ba61e3fd5b671b2200756,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
84,5f3ba6223fd5b671b22055c2,5f3ba61e3fd5b671b220074b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
85,5f3ba6213fd5b671b2205543,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,/,/,/,/,238,238,1.0
86,5f3ba6213fd5b671b2205543,5f3ba61e3fd5b671b2200756,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
87,5f3ba6213fd5b671b2205543,5f3ba61e3fd5b671b220074b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
88,5f3ba6213fd5b671b22054ae,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,/,/,/,/,238,238,1.0
89,5f3ba6213fd5b671b22054ae,5f3ba61e3fd5b671b2200756,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
90,5f3ba6213fd5b671b22054ae,5f3ba61e3fd5b671b220074b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
91,5f3ba6213fd5b671b2205546,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,/,/,/,/,238,238,1.0
92,5f3ba6213fd5b671b2205546,5f3ba61e3fd5b671b2200756,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
93,5f3ba6213fd5b671b2205546,5f3ba61e3fd5b671b220074b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,238,238,1.0
94,5f3ba6213fd5b671b2205529,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
95,5f3ba6213fd5b671b2205529,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,/,/,/,/,,,0.0
96,5f3ba6213fd5b671b2205529,5f3ba61e3fd5b671b2200726,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
97,5f3ba6213fd5b671b2205529,5f3ba61e3fd5b671b22006aa,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
98,5f3ba6213fd5b671b22054b1,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
99,5f3ba6213fd5b671b22054b1,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,/,/,/,/,,,0.0
100,5f3ba6213fd5b671b22054b1,5f3ba61e3fd5b671b2200726,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
101,5f3ba6213fd5b671b22054b1,5f3ba61e3fd5b671b22006aa,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
102,5f3ba6213fd5b671b2205503,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
103,5f3ba6213fd5b671b2205503,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,/,/,/,/,,,0.0
104,5f3ba6213fd5b671b2205503,5f3ba61e3fd5b671b2200726,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
105,5f3ba6213fd5b671b2205503,5f3ba61e3fd5b671b22006aa,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
106,5f3ba6213fd5b671b220551f,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
107,5f3ba6213fd5b671b220551f,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,/,/,/,/,,,0.0
108,5f3ba6213fd5b671b220551f,5f3ba61e3fd5b671b2200726,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
109,5f3ba6213fd5b671b220551f,5f3ba61e3fd5b671b22006aa,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
110,5f3ba6223fd5b671b220556a,5f3ba61e3fd5b671b2200755,1,/,/,0.303030303030303,0.0,/,/,/,/,/,1.0,,,0.0
111,5f3ba6223fd5b671b220556a,5f3ba61e3fd5b671b22006d7,1,/,/,0.2941176470588235,0.0,/,/,/,/,/,/,,,0.0
112,5f3ba6223fd5b671b220556a,5f3ba61e3fd5b671b2200726,1,/,/,0.303030303030303,0.0,/,0,/,/,/,1.0,,,0.0
113,5f3ba6223fd5b671b220556a,5f3ba61e3fd5b671b22006aa,1,/,/,0.303030303030303,0.0,/,0,/,/,/,1.0,,,0.0
114,5f3ba6213fd5b671b220553f,5f3ba61e3fd5b671b22006bb,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
115,5f3ba6213fd5b671b220553f,5f3ba61e3fd5b671b2200744,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
116,5f3ba6213fd5b671b22054f4,5f3ba61e3fd5b671b22006bb,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
117,5f3ba6213fd5b671b22054f4,5f3ba61e3fd5b671b2200744,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
118,5f3ba6223fd5b671b22055b9,5f3ba61e3fd5b671b22006bb,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
119,5f3ba6223fd5b671b22055b9,5f3ba61e3fd5b671b2200744,1,/,/,0.5806451612903226,0.5,/,0.9166666666666666,/,/,/,/,,,0.0
120,5f3ba6223fd5b671b22055c3,5f3ba61e3fd5b671b22006bb,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
121,5f3ba6223fd5b671b22055c3,5f3ba61e3fd5b671b2200744,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
122,5f3ba6213fd5b671b22054aa,5f3ba61e3fd5b671b22006bb,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
123,5f3ba6213fd5b671b22054aa,5f3ba61e3fd5b671b2200744,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
124,5f3ba6223fd5b671b220556c,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
125,5f3ba6213fd5b671b22054eb,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
126,5f3ba6213fd5b671b2205502,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
127,5f3ba6213fd5b671b220552c,5f3ba61e3fd5b671b22006cd,1,/,/,0.5806451612903226,0.5,/,0,/,/,/,/,,,0.0
128,5f3ba6223fd5b671b2205573,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
129,5f3ba6223fd5b671b2205573,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
130,5f3ba6223fd5b671b2205573,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
131,5f3ba6223fd5b671b22055d3,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
132,5f3ba6223fd5b671b22055d3,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
133,5f3ba6223fd5b671b22055d3,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
134,5f3ba6223fd5b671b22055e6,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
135,5f3ba6223fd5b671b22055e6,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
136,5f3ba6223fd5b671b22055e6,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,1.0,196,196,1.0
137,5f3ba6213fd5b671b220550c,5f3ba61e3fd5b671b22006b8,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
138,5f3ba6213fd5b671b220550c,5f3ba61e3fd5b671b22006ef,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
139,5f3ba6213fd5b671b220550c,5f3ba61e3fd5b671b22006a0,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
140,5f3ba6213fd5b671b220550c,5f3ba61e3fd5b671b2200745,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
141,5f3ba6223fd5b671b22055e2,5f3ba61e3fd5b671b22006b8,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
142,5f3ba6223fd5b671b22055e2,5f3ba61e3fd5b671b22006ef,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
143,5f3ba6223fd5b671b22055e2,5f3ba61e3fd5b671b22006a0,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
144,5f3ba6223fd5b671b22055e2,5f3ba61e3fd5b671b2200745,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
145,5f3ba6213fd5b671b220554e,5f3ba61e3fd5b671b22006b8,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
146,5f3ba6213fd5b671b220554e,5f3ba61e3fd5b671b22006ef,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
147,5f3ba6213fd5b671b220554e,5f3ba61e3fd5b671b22006a0,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
148,5f3ba6213fd5b671b220554e,5f3ba61e3fd5b671b2200745,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
149,5f3ba6213fd5b671b22054fe,5f3ba61e3fd5b671b22006b8,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
150,5f3ba6213fd5b671b22054fe,5f3ba61e3fd5b671b22006ef,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
151,5f3ba6213fd5b671b22054fe,5f3ba61e3fd5b671b22006a0,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
152,5f3ba6213fd5b671b22054fe,5f3ba61e3fd5b671b2200745,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
153,5f3ba6213fd5b671b2205531,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
154,5f3ba6213fd5b671b2205531,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
155,5f3ba6213fd5b671b2205531,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,1.0,31,31,1.0
156,5f3ba6223fd5b671b22055dd,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
157,5f3ba6223fd5b671b22055dd,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
158,5f3ba6223fd5b671b22055dd,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,1.0,31,31,1.0
159,5f3ba6213fd5b671b2205536,5f3ba61e3fd5b671b2200701,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
160,5f3ba6213fd5b671b2205536,5f3ba61e3fd5b671b220071b,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
161,5f3ba6213fd5b671b2205536,5f3ba61e3fd5b671b220070a,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
162,5f3ba6213fd5b671b2205536,5f3ba61e3fd5b671b220072c,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
163,5f3ba6213fd5b671b2205536,5f3ba61e3fd5b671b2200700,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
164,5f3ba6213fd5b671b2205536,5f3ba61e3fd5b671b22006c1,1,/,/,1.0,1.0,/,/,/,/,/,1.0,92,92,1.0
165,5f3ba6213fd5b671b2205544,5f3ba61e3fd5b671b2200701,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
166,5f3ba6213fd5b671b2205544,5f3ba61e3fd5b671b220071b,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
167,5f3ba6213fd5b671b2205544,5f3ba61e3fd5b671b220070a,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
168,5f3ba6213fd5b671b2205544,5f3ba61e3fd5b671b220072c,1,/,/,1.0,1.0,/,/,/,/,/,0.1,92,92,1.0
