,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204d8c,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
1,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204d04,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
2,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204f71,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
3,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204d65,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
4,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204e0b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
5,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204e53,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
6,5f3ba6213fd5b671b22054a9,5f3ba6213fd5b671b2204eff,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
7,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204d8c,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
8,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204d04,1,/,/,1.0,1.0,/,/,/,/,/,/,634,634,1.0
9,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204f71,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
10,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204d65,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
11,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204e0b,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
12,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204e53,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
13,5f3ba6223fd5b671b22055b8,5f3ba6213fd5b671b2204eff,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
14,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204d8c,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
15,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204d04,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
16,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204f71,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
17,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204d65,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
18,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204e0b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
19,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204e53,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
20,5f3ba6223fd5b671b22055a7,5f3ba6213fd5b671b2204eff,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
21,5f3ba6213fd5b671b22054b8,5f3ba6213fd5b671b2204d23,1,/,/,0.8,0.5,/,/,/,/,/,/,,,0.0
22,5f3ba6213fd5b671b22054b8,5f3ba6213fd5b671b2204ea4,1,/,/,0.5,0.25,/,/,/,/,/,/,,,0.0
23,5f3ba6213fd5b671b22054b8,5f3ba6213fd5b671b2204dfc,1,/,/,0.7027027027027027,1.0,/,/,/,/,/,/,185,185,1.0
24,5f3ba6213fd5b671b22054b8,5f3ba6213fd5b671b2204cc1,1,/,/,0.4864864864864865,0.2,/,/,/,/,/,/,,,0.0
25,5f3ba6213fd5b671b22054b8,5f3ba6213fd5b671b2204ee8,1,/,/,0.5555555555555556,0.6666666666666666,/,/,/,/,/,/,,,0.0
26,5f3ba6213fd5b671b220555d,5f3ba6213fd5b671b2204d23,1,/,/,0.4864864864864865,0.2,/,/,/,/,/,/,,,0.0
27,5f3ba6213fd5b671b220555d,5f3ba6213fd5b671b2204ea4,1,/,/,0.8372093023255814,0.25,/,/,/,/,/,/,,,0.0
28,5f3ba6213fd5b671b220555d,5f3ba6213fd5b671b2204dfc,1,/,/,0.7272727272727273,0.2,/,/,/,/,/,/,,,0.0
29,5f3ba6213fd5b671b220555d,5f3ba6213fd5b671b2204cc1,1,/,/,0.8636363636363636,0.2,/,/,/,/,/,/,,,0.0
30,5f3ba6213fd5b671b220555d,5f3ba6213fd5b671b2204ee8,1,/,/,0.8372093023255814,0.25,/,/,/,/,/,/,,,0.0
31,5f3ba6223fd5b671b2205588,5f3ba6213fd5b671b2204d23,1,/,/,0.5555555555555556,0.6666666666666666,/,/,/,/,/,/,,,0.0
32,5f3ba6223fd5b671b2205588,5f3ba6213fd5b671b2204ea4,1,/,/,0.8571428571428571,0.3333333333333333,/,/,/,/,/,/,,,0.0
33,5f3ba6223fd5b671b2205588,5f3ba6213fd5b671b2204dfc,1,/,/,0.8837209302325582,0.6666666666666666,/,/,/,/,/,/,,,0.0
34,5f3ba6223fd5b671b2205588,5f3ba6213fd5b671b2204cc1,1,/,/,0.8372093023255814,0.25,/,/,/,/,/,/,,,0.0
35,5f3ba6223fd5b671b2205588,5f3ba6213fd5b671b2204ee8,1,/,/,1.0,1.0,/,/,/,/,/,/,330,330,1.0
36,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204e00,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
37,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204e45,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
38,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204ceb,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
39,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204df6,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
40,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204d7b,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
41,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204f2b,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
42,5f3ba6213fd5b671b22054be,5f3ba6213fd5b671b2204e74,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
