,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22005e6,5f3ba61e3fd5b671b22006ab,1,/,/,0.7727272727272727,0.0,/,/,/,/,0,0.0,,,0.0
1,5f3ba61e3fd5b671b2200557,5f3ba61e3fd5b671b22006ab,1,/,/,0.7727272727272727,0.0,/,/,/,/,0,/,,,0.0
2,5f3ba61e3fd5b671b220061a,5f3ba61e3fd5b671b22006ab,1,/,/,0.7555555555555555,0.0,/,/,/,/,0,0.0,,,0.0
3,5f3ba61e3fd5b671b220062a,5f3ba61e3fd5b671b22006ab,1,/,/,0.6341463414634146,0.1666666666666666,/,/,/,/,0.7757523874386608,1.0,,,0.0
4,5f3ba61e3fd5b671b220055d,5f3ba61e3fd5b671b22006ab,1,/,/,0.7142857142857143,0.2,/,/,/,/,0.7757523874386608,1.0,,,0.0
5,5f3ba61e3fd5b671b2200615,5f3ba61e3fd5b671b220073c,1,/,/,0.5333333333333333,0.2,/,/,/,/,0,0.36363636363636365,233,233,1.0
6,5f3ba61e3fd5b671b2200648,5f3ba61e3fd5b671b2200752,1,/,/,1.0,1.0,/,/,1.0,0.9728997289972896,0.9945275711892795,1.0,261,261,1.0
7,5f3ba61e3fd5b671b2200655,5f3ba61e3fd5b671b220072e,1,/,/,0.5333333333333333,0.0,/,/,0.7692307692307692,0.17562724014336895,0.009188464118041417,0.25,,,0.0
8,5f3ba61e3fd5b671b22005ab,5f3ba61e3fd5b671b220072e,1,/,/,0.5925925925925926,0.0,/,/,0.696969696969697,0.7142857142857144,0.2911882879529687,0.0,,,0.0
9,5f3ba61e3fd5b671b2200633,5f3ba61e3fd5b671b220072e,1,/,/,0.5925925925925926,0.0,/,/,/,/,0.2530134280069861,0.23076923076923078,,,0.0
10,5f3ba61e3fd5b671b2200575,5f3ba61e3fd5b671b220072e,1,/,/,0.5161290322580645,0.0,/,/,0.862258953168044,0.3486590038314179,0.5627694859038141,0.23076923076923078,,,0.0
11,5f3ba61e3fd5b671b2200657,5f3ba61e3fd5b671b220073b,1,/,/,0.4827586206896552,0.6666666666666666,/,/,/,/,/,0.19047619047619047,12,12,1.0
