,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b2204d1d,5f3ba61e3fd5b671b22006ab,1,/,/,0.8888888888888888,0.8,/,/,/,/,/,/,,,0.0
1,5f3ba6213fd5b671b2204d5c,5f3ba61e3fd5b671b22006ab,1,/,/,0.8,0.2857142857142857,/,/,/,/,/,/,,,0.0
2,5f3ba6213fd5b671b2204e19,5f3ba61e3fd5b671b22006ab,1,/,/,0.8888888888888888,0.8,/,/,/,/,/,/,,,0.0
3,5f3ba6213fd5b671b2204d69,5f3ba61e3fd5b671b22006ab,1,/,/,0.8888888888888888,0.8,/,/,/,/,/,/,,,0.0
4,5f3ba6213fd5b671b2204f3a,5f3ba61e3fd5b671b22006ab,1,/,/,0.8888888888888888,0.8,/,/,/,/,/,/,,,0.0
5,5f3ba6213fd5b671b2204f32,5f3ba61e3fd5b671b22006ab,1,/,/,0.8,0.2857142857142857,/,/,/,/,/,/,,,0.0
6,5f3ba6213fd5b671b2204f76,5f3ba61e3fd5b671b22006ab,1,/,/,0.8181818181818182,0.3333333333333333,/,/,/,/,/,/,,,0.0
7,5f3ba6213fd5b671b2204f84,5f3ba61e3fd5b671b22006ab,1,/,/,0.8,0.2857142857142857,/,/,/,/,/,/,,,0.0
8,5f3ba6213fd5b671b2204d32,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
9,5f3ba6213fd5b671b2204d32,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
10,5f3ba6213fd5b671b2204d32,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
11,5f3ba6213fd5b671b2204ea9,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
12,5f3ba6213fd5b671b2204ea9,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
13,5f3ba6213fd5b671b2204ea9,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
14,5f3ba6213fd5b671b2204e39,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
15,5f3ba6213fd5b671b2204e39,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
16,5f3ba6213fd5b671b2204e39,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
17,5f3ba6213fd5b671b2204de0,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
18,5f3ba6213fd5b671b2204de0,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
19,5f3ba6213fd5b671b2204de0,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
20,5f3ba6213fd5b671b2204e8d,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
21,5f3ba6213fd5b671b2204e8d,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
22,5f3ba6213fd5b671b2204e8d,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
23,5f3ba6213fd5b671b2204e0a,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
24,5f3ba6213fd5b671b2204e0a,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
25,5f3ba6213fd5b671b2204e0a,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
26,5f3ba6213fd5b671b2204cb6,5f3ba61e3fd5b671b220070d,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba6213fd5b671b2204cb6,5f3ba61e3fd5b671b2200741,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba6213fd5b671b2204cb6,5f3ba61e3fd5b671b2200747,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba6213fd5b671b2204d2c,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
30,5f3ba6213fd5b671b2204d2c,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
31,5f3ba6213fd5b671b2204d2c,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
32,5f3ba6213fd5b671b2204e99,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
33,5f3ba6213fd5b671b2204e99,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
34,5f3ba6213fd5b671b2204e99,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
35,5f3ba6213fd5b671b2204f4f,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
36,5f3ba6213fd5b671b2204f4f,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
37,5f3ba6213fd5b671b2204f4f,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
38,5f3ba6213fd5b671b2204ed0,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
39,5f3ba6213fd5b671b2204ed0,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
40,5f3ba6213fd5b671b2204ed0,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
41,5f3ba6213fd5b671b2204f7a,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
42,5f3ba6213fd5b671b2204f7a,5f3ba61e3fd5b671b2200741,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
43,5f3ba6213fd5b671b2204f7a,5f3ba61e3fd5b671b2200747,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
44,5f3ba6213fd5b671b2204d57,5f3ba61e3fd5b671b22006c0,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
45,5f3ba6213fd5b671b2204e05,5f3ba61e3fd5b671b22006c0,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
46,5f3ba6213fd5b671b2204d29,5f3ba61e3fd5b671b22006c0,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
47,5f3ba6213fd5b671b2204e2b,5f3ba61e3fd5b671b22006c0,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
48,5f3ba6213fd5b671b2204f5c,5f3ba61e3fd5b671b22006c0,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
49,5f3ba6213fd5b671b2204d8c,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
50,5f3ba6213fd5b671b2204d8c,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
51,5f3ba6213fd5b671b2204d04,5f3ba61e3fd5b671b220072b,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
52,5f3ba6213fd5b671b2204d04,5f3ba61e3fd5b671b220069d,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
53,5f3ba6213fd5b671b2204f71,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
54,5f3ba6213fd5b671b2204f71,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
55,5f3ba6213fd5b671b2204d65,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
56,5f3ba6213fd5b671b2204d65,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
57,5f3ba6213fd5b671b2204e0b,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
58,5f3ba6213fd5b671b2204e0b,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
59,5f3ba6213fd5b671b2204e53,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
60,5f3ba6213fd5b671b2204e53,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
61,5f3ba6213fd5b671b2204eff,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
62,5f3ba6213fd5b671b2204eff,5f3ba61e3fd5b671b220069d,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
63,5f3ba6213fd5b671b2204d9f,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
64,5f3ba6213fd5b671b2204d9f,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
65,5f3ba6213fd5b671b2204d9f,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
66,5f3ba6213fd5b671b2204d09,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
67,5f3ba6213fd5b671b2204d09,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
68,5f3ba6213fd5b671b2204d09,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
69,5f3ba6213fd5b671b2204e97,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
70,5f3ba6213fd5b671b2204e97,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
71,5f3ba6213fd5b671b2204e97,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
72,5f3ba6213fd5b671b2204dbe,5f3ba61e3fd5b671b22006ca,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
73,5f3ba6213fd5b671b2204dee,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
74,5f3ba6213fd5b671b2204e56,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
75,5f3ba6213fd5b671b2204cda,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
76,5f3ba6213fd5b671b2204e30,5f3ba61e3fd5b671b22006ca,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
77,5f3ba6213fd5b671b2204d77,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
78,5f3ba6213fd5b671b2204da8,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
79,5f3ba6213fd5b671b2204db8,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
80,5f3ba6213fd5b671b2204f28,5f3ba61e3fd5b671b22006ca,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
81,5f3ba6213fd5b671b2204d15,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
82,5f3ba6213fd5b671b2204e1d,5f3ba61e3fd5b671b22006ca,1,/,/,1.0,1.0,/,/,/,/,/,/,265,265,1.0
83,5f3ba6213fd5b671b2204e3f,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
84,5f3ba6213fd5b671b2204dfa,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
85,5f3ba6213fd5b671b2204e77,5f3ba61e3fd5b671b220072e,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
86,5f3ba6213fd5b671b2204e77,5f3ba61e3fd5b671b22006d5,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
87,5f3ba6213fd5b671b2204e77,5f3ba61e3fd5b671b22006ec,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
88,5f3ba6213fd5b671b2204d5a,5f3ba61e3fd5b671b220072e,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
89,5f3ba6213fd5b671b2204d5a,5f3ba61e3fd5b671b22006d5,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
90,5f3ba6213fd5b671b2204d5a,5f3ba61e3fd5b671b22006ec,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
91,5f3ba6213fd5b671b2204cd4,5f3ba61e3fd5b671b220072e,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
92,5f3ba6213fd5b671b2204cd4,5f3ba61e3fd5b671b22006d5,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
93,5f3ba6213fd5b671b2204cd4,5f3ba61e3fd5b671b22006ec,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
94,5f3ba6213fd5b671b2204d3c,5f3ba61e3fd5b671b220072e,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
95,5f3ba6213fd5b671b2204d3c,5f3ba61e3fd5b671b22006d5,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
96,5f3ba6213fd5b671b2204d3c,5f3ba61e3fd5b671b22006ec,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
97,5f3ba6213fd5b671b2204db0,5f3ba61e3fd5b671b220072e,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
98,5f3ba6213fd5b671b2204db0,5f3ba61e3fd5b671b22006d5,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
99,5f3ba6213fd5b671b2204db0,5f3ba61e3fd5b671b22006ec,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
100,5f3ba6213fd5b671b2204d84,5f3ba61e3fd5b671b220072e,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
101,5f3ba6213fd5b671b2204d84,5f3ba61e3fd5b671b22006d5,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
102,5f3ba6213fd5b671b2204d84,5f3ba61e3fd5b671b22006ec,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
103,5f3ba6213fd5b671b2204e64,5f3ba61e3fd5b671b220072e,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
104,5f3ba6213fd5b671b2204e64,5f3ba61e3fd5b671b22006d5,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
105,5f3ba6213fd5b671b2204e64,5f3ba61e3fd5b671b22006ec,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
106,5f3ba6213fd5b671b2204dae,5f3ba61e3fd5b671b220072e,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
107,5f3ba6213fd5b671b2204dae,5f3ba61e3fd5b671b22006d5,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
108,5f3ba6213fd5b671b2204dae,5f3ba61e3fd5b671b22006ec,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
109,5f3ba6213fd5b671b2204e18,5f3ba61e3fd5b671b220072e,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
110,5f3ba6213fd5b671b2204e18,5f3ba61e3fd5b671b22006d5,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
111,5f3ba6213fd5b671b2204e18,5f3ba61e3fd5b671b22006ec,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
112,5f3ba6213fd5b671b2204efc,5f3ba61e3fd5b671b220072e,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
113,5f3ba6213fd5b671b2204efc,5f3ba61e3fd5b671b22006d5,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
114,5f3ba6213fd5b671b2204efc,5f3ba61e3fd5b671b22006ec,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
115,5f3ba6213fd5b671b2204dfb,5f3ba61e3fd5b671b220072e,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
116,5f3ba6213fd5b671b2204dfb,5f3ba61e3fd5b671b22006d5,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
