,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b2204d06,5f3ba6213fd5b671b22051d7,1,/,/,0.65,0.0,/,/,/,/,/,/,,,0.0
1,5f3ba6213fd5b671b2204e41,5f3ba6213fd5b671b22051d7,1,/,/,0.2424242424242424,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba6213fd5b671b2204dcb,5f3ba6213fd5b671b22051d7,1,/,/,0.65,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba6213fd5b671b2204e54,5f3ba6213fd5b671b22051d7,1,/,/,0.65,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba6213fd5b671b2204f1f,5f3ba6213fd5b671b22051d7,1,/,/,0.7,0.2,/,/,/,/,/,/,,,0.0
5,5f3ba6213fd5b671b2204f75,5f3ba6213fd5b671b22051d7,1,/,/,0.65,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba6213fd5b671b2204d1d,5f3ba6213fd5b671b2205239,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
7,5f3ba6213fd5b671b2204d5c,5f3ba6213fd5b671b2205239,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
8,5f3ba6213fd5b671b2204f76,5f3ba6213fd5b671b2205239,1,/,/,0.8372093023255814,0.1666666666666666,/,/,/,/,/,/,,,0.0
9,5f3ba6213fd5b671b2204d57,5f3ba6213fd5b671b22051f2,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
10,5f3ba6213fd5b671b2204d7e,5f3ba6213fd5b671b220523f,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
11,5f3ba6213fd5b671b2204d8c,5f3ba6213fd5b671b22051d8,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
12,5f3ba6213fd5b671b2204d04,5f3ba6213fd5b671b22051d8,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
13,5f3ba6213fd5b671b2204d9f,5f3ba6213fd5b671b2205246,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
