,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b22052cb,5f3ba6213fd5b671b22050a1,1,/,/,0.2564102564102564,0.0769230769230769,/,/,/,/,/,/,,,0.0
1,5f3ba6213fd5b671b22052cb,5f3ba6213fd5b671b2205169,1,/,/,1.0,1.0,/,/,/,/,/,/,60,60,1.0
2,5f3ba6213fd5b671b2205423,5f3ba6213fd5b671b22050a1,1,/,/,0.2564102564102564,0.0769230769230769,/,/,/,/,/,/,,,0.0
3,5f3ba6213fd5b671b2205423,5f3ba6213fd5b671b2205169,1,/,/,0.8695652173913043,0.3333333333333333,/,0,0,0,/,/,,,0.0
4,5f3ba6213fd5b671b22052dd,5f3ba6213fd5b671b2205039,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
5,5f3ba6213fd5b671b22052fd,5f3ba6213fd5b671b2205043,1,/,/,0.8148148148148148,0.5,/,/,0.9770114942528736,0.968553459119497,/,/,,,0.0
6,5f3ba6213fd5b671b22052fd,5f3ba6213fd5b671b220506c,1,/,/,0.2941176470588235,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba6213fd5b671b22053a7,5f3ba6213fd5b671b2205043,1,/,/,1.0,1.0,/,/,/,/,/,/,125,125,1.0
8,5f3ba6213fd5b671b22053a7,5f3ba6213fd5b671b220506c,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba6213fd5b671b2205311,5f3ba6213fd5b671b22050e5,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,72,72,1.0
10,5f3ba6213fd5b671b2205313,5f3ba6213fd5b671b2204ffb,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
11,5f3ba6213fd5b671b2205438,5f3ba6213fd5b671b2204ffb,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
12,5f3ba6213fd5b671b220531b,5f3ba6213fd5b671b2205077,1,/,/,1.0,0.25,/,/,/,/,/,/,114,114,1.0
13,5f3ba6213fd5b671b220531b,5f3ba6213fd5b671b2205110,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
14,5f3ba6213fd5b671b22053b2,5f3ba6213fd5b671b2205077,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba6213fd5b671b22053b2,5f3ba6213fd5b671b2205110,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
16,5f3ba6213fd5b671b220540a,5f3ba6213fd5b671b2205077,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba6213fd5b671b220540a,5f3ba6213fd5b671b2205110,1,/,/,1.0,1.0,/,/,/,/,/,/,69,69,1.0
18,5f3ba6213fd5b671b22053dd,5f3ba6213fd5b671b2205077,1,/,/,0.8181818181818182,0.0,/,/,1.0,0.7740112994350281,/,/,,,0.0
19,5f3ba6213fd5b671b22053dd,5f3ba6213fd5b671b2205110,1,/,/,0.8181818181818182,0.1428571428571428,/,0.033333333333333215,0.8705501618122976,0.838709677419355,/,/,,,0.0
20,5f3ba6213fd5b671b220531a,5f3ba6213fd5b671b2205077,1,/,/,0.8636363636363636,0.0,/,/,0.5114942528735635,0.36274509803921573,/,/,,,0.0
21,5f3ba6213fd5b671b220531a,5f3ba6213fd5b671b2205110,1,/,/,0.8181818181818182,0.1428571428571428,/,/,0.6264367816091958,0.7058823529411766,/,/,,,0.0
22,5f3ba6213fd5b671b22052dc,5f3ba6213fd5b671b2205077,1,/,/,0.8181818181818182,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba6213fd5b671b22052dc,5f3ba6213fd5b671b2205110,1,/,/,0.8181818181818182,0.1428571428571428,/,/,/,/,/,/,,,0.0
24,5f3ba6213fd5b671b220532b,5f3ba6213fd5b671b2204fb9,1,/,/,1.0,1.0,/,/,/,/,/,/,199,199,1.0
25,5f3ba6213fd5b671b220534a,5f3ba6213fd5b671b22050c5,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
26,5f3ba6213fd5b671b220534a,5f3ba6213fd5b671b2204fea,1,/,/,1.0,1.0,/,/,/,/,/,/,85,85,1.0
27,5f3ba6213fd5b671b22053ea,5f3ba6213fd5b671b22050c5,1,/,/,1.0,1.0,/,/,/,/,/,/,124,124,1.0
28,5f3ba6213fd5b671b22053ea,5f3ba6213fd5b671b2204fea,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
29,5f3ba6213fd5b671b2205379,5f3ba6213fd5b671b220510f,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba6213fd5b671b2205379,5f3ba6213fd5b671b2204fa5,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba6213fd5b671b220545e,5f3ba6213fd5b671b220510f,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
32,5f3ba6213fd5b671b220545e,5f3ba6213fd5b671b2204fa5,1,/,/,1.0,1.0,/,/,/,/,/,/,75,75,1.0
33,5f3ba6213fd5b671b2205453,5f3ba6213fd5b671b220510f,1,/,/,0.7142857142857143,0.0,/,/,0.04761904761904767,0.06504065040650431,/,/,,,0.0
