,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b22052bd,5f3ba61f3fd5b671b22010b8,/,/,/,0.3846153846153846,0.0,/,/,/,/,/,/,,,0.0
1,5f3ba6213fd5b671b22052bd,5f3ba61f3fd5b671b2200f66,/,/,/,0.3846153846153846,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba6213fd5b671b22052bd,5f3ba61f3fd5b671b2200f50,/,/,/,0.6153846153846154,0.125,/,/,/,/,/,/,,,0.0
3,5f3ba6213fd5b671b22052bd,5f3ba61f3fd5b671b22010c6,/,/,/,0.6153846153846154,0.125,/,/,/,/,/,/,,,0.0
4,5f3ba6213fd5b671b22052bd,5f3ba61f3fd5b671b2200d36,/,/,/,1.0,0.0,/,/,/,/,/,/,230,230,1.0
5,5f3ba6213fd5b671b22052cb,5f3ba61f3fd5b671b2200f2e,1,/,/,0.6486486486486487,1.0,/,/,/,/,/,/,60,60,1.0
6,5f3ba6213fd5b671b22052cb,5f3ba61f3fd5b671b2200d62,1,/,/,0.7659574468085106,0.3,/,/,/,/,/,/,,,0.0
7,5f3ba6213fd5b671b2205423,5f3ba61f3fd5b671b2200f2e,1,/,/,0.4864864864864865,0.3333333333333333,/,/,/,/,/,/,,,0.0
8,5f3ba6213fd5b671b2205423,5f3ba61f3fd5b671b2200d62,1,/,/,0.7659574468085106,0.3,/,0,/,/,/,/,,,0.0
9,5f3ba6213fd5b671b22052dd,5f3ba61f3fd5b671b2200e8e,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
10,5f3ba6213fd5b671b22052e5,5f3ba61f3fd5b671b2200ff0,1,/,/,1.0,1.0,/,/,/,/,/,/,1084,1084,1.0
11,5f3ba6213fd5b671b22052f7,5f3ba61f3fd5b671b2200fc6,1,/,/,0.6363636363636364,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba6213fd5b671b22052f7,5f3ba61f3fd5b671b2200e2b,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba6213fd5b671b220533e,5f3ba61f3fd5b671b2200fc6,1,/,/,0.6363636363636364,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba6213fd5b671b220533e,5f3ba61f3fd5b671b2200e2b,1,/,/,0.5185185185185185,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba6213fd5b671b2205459,5f3ba61f3fd5b671b2200fc6,1,/,/,0.5185185185185185,0.0,/,/,/,/,/,/,,,0.0
