,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b22052bd,5f3ba6213fd5b671b2204d71,/,/,/,1.0,1.0,/,/,/,/,/,/,230,230,1.0
1,5f3ba6213fd5b671b22052cb,5f3ba6213fd5b671b2204ed9,1,/,/,0.8695652173913043,0.3333333333333333,/,/,/,/,/,/,,,0.0
2,5f3ba6213fd5b671b22052cb,5f3ba6213fd5b671b2204d2a,1,/,/,1.0,1.0,/,/,/,/,/,/,60,60,1.0
3,5f3ba6213fd5b671b22052cb,5f3ba6213fd5b671b2204f30,1,/,/,0.7659574468085106,0.3,/,/,/,/,/,/,,,0.0
4,5f3ba6213fd5b671b2205423,5f3ba6213fd5b671b2204ed9,1,/,/,0.8695652173913043,0.3333333333333333,/,/,/,/,/,/,,,0.0
5,5f3ba6213fd5b671b2205423,5f3ba6213fd5b671b2204d2a,1,/,/,0.8695652173913043,0.3333333333333333,/,/,/,/,/,/,,,0.0
6,5f3ba6213fd5b671b2205423,5f3ba6213fd5b671b2204f30,1,/,/,0.7659574468085106,0.3,/,/,/,/,/,/,,,0.0
7,5f3ba6213fd5b671b22052dd,5f3ba6213fd5b671b2204e00,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
8,5f3ba6213fd5b671b22052e5,5f3ba6213fd5b671b2204ec4,1,/,/,1.0,1.0,/,/,/,/,/,/,1084,1084,1.0
9,5f3ba6213fd5b671b22052e5,5f3ba6213fd5b671b2204d1a,1,/,/,0.8636363636363636,0.25,/,/,/,/,/,/,,,0.0
10,5f3ba6213fd5b671b22052f7,5f3ba6213fd5b671b2204d62,1,/,/,0.6363636363636364,0.0,/,/,/,/,/,/,,,0.0
