,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c83,/,/,/,0.4571428571428571,0.0,0,0.04761904761904767,/,/,0,0.0,,,0.0
1,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200cbc,/,/,/,0.4516129032258064,0.0,/,/,/,/,/,0.0,,,0.0
2,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c36,/,/,/,0.5185185185185185,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200ceb,/,/,/,0.4827586206896552,0.0,0.33333333333333337,0,/,/,/,1.0,,,0.0
4,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200bcd,/,/,/,0.5517241379310345,0.0,0.33333333333333337,0,/,/,/,1.0,,,0.0
5,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c32,/,/,/,0.4516129032258064,0.0,0.33333333333333337,0,/,/,0,0.1,,,0.0
6,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c69,/,/,/,0.4117647058823529,0.0,0.33333333333333337,0,/,/,0,0.1,,,0.0
7,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c96,/,/,/,0.5333333333333333,0.0,0.33333333333333337,0,/,/,/,1.0,,,0.0
8,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200cc4,/,/,/,0.5333333333333333,0.0,0.33333333333333337,0,/,/,0.5268817204301075,1.0,,,0.0
9,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200bb5,/,/,/,0.8125,0.4285714285714285,1.0,1.0,/,/,0.7453703703703703,1.0,,,0.0
10,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c1a,/,/,/,0.5333333333333333,0.0,0,0,/,/,0.29824561403508776,1.0,,,0.0
11,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c1d,/,/,/,0.4705882352941176,0.0,0.33333333333333337,0,/,/,0,0.1,,,0.0
12,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200bc1,/,/,/,0.5333333333333333,0.0,0.33333333333333337,0,/,/,/,1.0,,,0.0
13,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c0b,/,/,/,0.5517241379310345,0.0,0.33333333333333337,0,/,/,0.9506172839506173,1.0,,,0.0
14,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c16,/,/,/,0.4516129032258064,0.0,0.33333333333333337,0,/,/,/,0.1,,,0.0
15,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200cb0,/,/,/,0.5333333333333333,0.0,0.33333333333333337,0.04761904761904767,/,/,0.7994987468671679,1.0,,,0.0
16,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200d04,/,/,/,0.4375,0.0,0.33333333333333337,0,/,/,/,1.0,,,0.0
17,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200bd5,/,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.0,,,0.0
18,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200bef,/,/,/,0.6,0.0,0.33333333333333337,0,/,/,/,1.0,,,0.0
19,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200bfe,/,/,/,0.3888888888888889,0.0,/,/,/,/,0,/,,,0.0
20,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c12,/,/,/,0.5,0.0,0,0,/,/,0.6621621621621622,0.1,,,0.0
21,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c63,/,/,/,0.5333333333333333,0.0,/,/,/,/,/,1.0,,,0.0
22,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200c99,/,/,/,0.5,0.0,/,0,/,/,0,1.0,,,0.0
23,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200ca6,/,/,/,0.4444444444444444,0.0,0.33333333333333337,0.04761904761904767,/,/,0.7243107769423559,1.0,,,0.0
24,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200cb1,/,/,/,0.4117647058823529,0.0,0,0,/,/,0,0.1,,,0.0
25,5f3ba61f3fd5b671b220128d,5f3ba61f3fd5b671b2200d0d,/,/,/,0.4516129032258064,0.0,/,/,/,/,/,0.0,,,0.0
26,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200c83,/,/,/,0.4848484848484848,0.0,/,1.0,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200cbc,/,/,/,0.4827586206896552,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200c36,/,/,/,0.56,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200ceb,/,/,/,0.5185185185185185,0.0,/,0,/,/,/,/,,,0.0
30,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200bcd,/,/,/,0.5925925925925926,0.0,/,0.33333333333333337,/,/,/,/,,,0.0
31,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200c32,/,/,/,0.4827586206896552,0.0,/,0,/,/,/,/,,,0.0
32,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200c69,/,/,/,0.4375,0.0,/,0,/,/,/,/,,,0.0
33,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200c96,/,/,/,0.6428571428571429,0.0,/,0,/,/,/,/,,,0.0
34,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200cc4,/,/,/,0.5714285714285714,0.0,/,0,/,/,/,/,,,0.0
35,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200bb5,/,/,/,0.5333333333333333,0.0,/,0.04761904761904767,/,/,/,/,,,0.0
36,5f3ba61f3fd5b671b220129c,5f3ba61f3fd5b671b2200c1a,/,/,/,0.7857142857142857,0.2,/,0.33333333333333337,/,/,/,/,,,0.0
