,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba61f3fd5b671b2201582,1,/,/,1.0,1.0,/,1.0,/,/,/,/,22,22,1.0
1,5f3ba61e3fd5b671b22000d1,5f3ba61f3fd5b671b220174d,1,/,/,0.7906976744186046,1.0,/,1.0,/,/,/,/,80,80,1.0
2,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b220471c,1,/,/,1.0,1.0,/,1.0,/,/,/,/,110,110,1.0
3,5f3ba61e3fd5b671b22000d2,5f3ba6203fd5b671b2202ba0,1,/,/,0.6521739130434783,0.2,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b22043fb,1,/,/,0.8292682926829268,0.25,/,0,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b22000e8,5f3ba6213fd5b671b22042e2,1,/,/,0.8695652173913043,0.16666666666666666,/,0,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b22000e8,5f3ba6203fd5b671b22023e8,1,/,/,0.84,0.4,/,1.0,/,/,/,/,184,184,1.0
7,5f3ba61e3fd5b671b22000eb,5f3ba61f3fd5b671b220176d,1,/,/,0.5,0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22000eb,5f3ba6203fd5b671b2202441,1,/,/,0.2592592592592592,0,/,0,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b22000eb,5f3ba6203fd5b671b22028d1,1,/,/,0.4848484848484848,0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b22000eb,5f3ba6203fd5b671b22028d8,1,/,/,0.4324324324324324,0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b22000eb,5f3ba6203fd5b671b2203090,1,/,/,0.5,0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b220416e,1,/,/,0.4848484848484848,0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b22000eb,5f3ba6203fd5b671b220234d,1,/,/,0.5,0,/,0,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b22000eb,5f3ba6203fd5b671b2202aa1,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,113,113,1.0
15,5f3ba61e3fd5b671b22000eb,5f3ba61f3fd5b671b2201694,1,/,/,0.5517241379310345,0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204334,1,/,/,0.5517241379310345,0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b22000e9,5f3ba61f3fd5b671b220176d,1,/,/,0.5161290322580645,0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b22000e9,5f3ba6203fd5b671b2202441,1,/,/,0.2641509433962264,0,/,0,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b22000e9,5f3ba6203fd5b671b22028d1,1,/,/,0.5,0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b22000e9,5f3ba6203fd5b671b22028d8,1,/,/,0.4444444444444444,0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b22000e9,5f3ba6203fd5b671b2203090,1,/,/,0.5161290322580645,0,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b220416e,1,/,/,0.5,0,/,/,/,/,/,/,,,0.0
23,5f3ba61e3fd5b671b22000e9,5f3ba6203fd5b671b220234d,1,/,/,0.5490196078431373,0,/,1.0,/,/,/,/,624,624,1.0
24,5f3ba61e3fd5b671b22000e9,5f3ba6203fd5b671b2202aa1,1,/,/,0.5531914893617021,0,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b22000e9,5f3ba61f3fd5b671b2201694,1,/,/,0.5714285714285714,0,/,/,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204334,1,/,/,0.5714285714285714,0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b22000f7,5f3ba61f3fd5b671b2201fe6,1,/,/,0.7804878048780488,0.3333333333333333,/,0,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b22000f7,5f3ba6203fd5b671b22024bc,1,/,/,0.8333333333333334,0,/,0,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b22000f7,5f3ba6203fd5b671b22028f2,1,/,/,0.75,0,/,0,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b22000f7,5f3ba6213fd5b671b2204553,1,/,/,0.75,0,/,0,/,/,/,/,,,0.0
