,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b2205100,1,/,/,1.0,1.0,/,1.0,1.0,0.9523809523809526,/,/,110,110,1.0
1,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2205116,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204f9e,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b220511f,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
4,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204fbe,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
5,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2205078,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b22050ad,1,/,/,0.8484848484848485,0.0,/,0,0.7988505747126439,0.08045977011494265,/,/,,,0.0
7,5f3ba61e3fd5b671b2200157,5f3ba6213fd5b671b2205116,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200157,5f3ba6213fd5b671b2204f9e,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b2200157,5f3ba6213fd5b671b220511f,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
10,5f3ba61e3fd5b671b2200157,5f3ba6213fd5b671b2204fbe,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
11,5f3ba61e3fd5b671b2200157,5f3ba6213fd5b671b2205078,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200157,5f3ba6213fd5b671b22050ad,1,/,/,0.8484848484848485,0.0,/,0,0.7988505747126439,0.08045977011494265,/,/,,,0.0
13,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2205116,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204f9e,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b220511f,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204fbe,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2205078,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b22050ad,1,/,/,1.0,1.0,/,1.0,1.0,1.0,/,/,624,624,1.0
19,5f3ba61e3fd5b671b2200108,5f3ba6213fd5b671b2205116,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b2200108,5f3ba6213fd5b671b2204f9e,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b2200108,5f3ba6213fd5b671b220511f,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
22,5f3ba61e3fd5b671b2200108,5f3ba6213fd5b671b2204fbe,1,/,/,1.0,1.0,/,/,/,/,/,/,113,113,1.0
23,5f3ba61e3fd5b671b2200108,5f3ba6213fd5b671b2205078,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b2200108,5f3ba6213fd5b671b22050ad,1,/,/,0.8484848484848485,0.0,/,0,0.7988505747126439,0.08045977011494265,/,/,,,0.0
25,5f3ba61e3fd5b671b22000f7,5f3ba6213fd5b671b2205001,1,/,/,0.7804878048780488,0.1666666666666666,/,/,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b220014c,5f3ba6213fd5b671b2205001,1,/,/,0.7804878048780488,0.1666666666666666,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b220013c,5f3ba6213fd5b671b2205001,1,/,/,0.8292682926829268,0.4,/,/,/,/,/,/,204,204,1.0
28,5f3ba61e3fd5b671b2200106,5f3ba6213fd5b671b2205085,1,/,/,0.2857142857142857,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b22000fc,5f3ba6213fd5b671b2205085,1,/,/,0.4444444444444444,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b220011b,5f3ba6213fd5b671b2205077,1,/,/,0.8181818181818182,0.0,/,/,0.8705501618122976,0.6236559139784945,/,/,,,0.0
31,5f3ba61e3fd5b671b220011b,5f3ba6213fd5b671b2205099,1,/,/,0.8181818181818182,0.0,/,/,0.8705501618122976,0.6236559139784945,/,/,,,0.0
32,5f3ba61e3fd5b671b220011b,5f3ba6213fd5b671b2205110,1,/,/,1.0,1.0,/,1.0,1.0,1.0,/,/,69,69,1.0
33,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b220510f,1,/,/,0.5,0.0,/,0,0.1729323308270676,0,/,/,,,0.0
34,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b220511d,1,/,/,0.5,0.0,/,0,0.1729323308270676,0,/,/,,,0.0
35,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b2204fa5,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
36,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b220510f,1,/,/,0.6206896551724138,1.0,/,1.0,1.0,0.9435028248587568,/,/,47,47,1.0
37,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b220511d,1,/,/,0.6206896551724138,1.0,/,1.0,1.0,0.9435028248587568,/,/,47,47,1.0
38,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b2204fa5,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,/,,,0.0
