,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000d1,5f3ba61f3fd5b671b2200dd1,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
1,5f3ba61e3fd5b671b22000d1,5f3ba61f3fd5b671b2200d49,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
2,5f3ba61e3fd5b671b22000f5,5f3ba61f3fd5b671b2200dd1,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
3,5f3ba61e3fd5b671b22000f5,5f3ba61f3fd5b671b2200d49,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
4,5f3ba61e3fd5b671b22000df,5f3ba61f3fd5b671b2200dd1,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
5,5f3ba61e3fd5b671b22000df,5f3ba61f3fd5b671b2200d49,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
6,5f3ba61e3fd5b671b22000fd,5f3ba61f3fd5b671b2200dd1,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
7,5f3ba61e3fd5b671b22000fd,5f3ba61f3fd5b671b2200d49,1,/,/,0.5,0.4,/,/,/,/,/,/,80,80,1.0
8,5f3ba61e3fd5b671b22000d2,5f3ba61f3fd5b671b2200e1e,1,/,/,0.7727272727272727,0.1428571428571428,/,0,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b22000d2,5f3ba61f3fd5b671b2200f6c,1,/,/,1.0,1.0,/,/,/,/,/,/,110,110,1.0
10,5f3ba61e3fd5b671b22000d2,5f3ba61f3fd5b671b220102f,1,/,/,1.0,1.0,/,/,/,/,/,/,110,110,1.0
11,5f3ba61e3fd5b671b22000d9,5f3ba61f3fd5b671b2200fa9,/,/,/,1.0,1.0,/,/,/,/,/,/,910,910,1.0
12,5f3ba61e3fd5b671b2200134,5f3ba61f3fd5b671b2200fa9,/,/,/,1.0,1.0,/,/,/,/,/,/,910,910,1.0
13,5f3ba61e3fd5b671b220010c,5f3ba61f3fd5b671b2200fa9,/,/,/,0.3448275862068966,0.0,/,/,/,/,/,/,,,0.0
