,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba61e3fd5b671b22003f6,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
1,5f3ba61e3fd5b671b22000ce,5f3ba61e3fd5b671b22003e9,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
2,5f3ba61e3fd5b671b22000e7,5f3ba61e3fd5b671b22003f6,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
3,5f3ba61e3fd5b671b22000e7,5f3ba61e3fd5b671b22003e9,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
4,5f3ba61e3fd5b671b22000d4,5f3ba61e3fd5b671b22003f6,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
5,5f3ba61e3fd5b671b22000d4,5f3ba61e3fd5b671b22003e9,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
6,5f3ba61e3fd5b671b2200136,5f3ba61e3fd5b671b22003f6,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
7,5f3ba61e3fd5b671b2200136,5f3ba61e3fd5b671b22003e9,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
8,5f3ba61e3fd5b671b22000c5,5f3ba61e3fd5b671b22003f6,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
9,5f3ba61e3fd5b671b22000c5,5f3ba61e3fd5b671b22003e9,1,/,/,1.0,1.0,/,1.0,1.0,0.9425287356321841,1.0,1.0,22,22,1.0
10,5f3ba61e3fd5b671b22000d1,5f3ba61e3fd5b671b22003fa,1,/,/,0.3636363636363636,0.3333333333333333,/,1.0,/,/,/,1.0,80,80,1.0
11,5f3ba61e3fd5b671b22000d1,5f3ba61e3fd5b671b220045a,1,/,/,0.5,0.4,/,1.0,/,/,/,1.0,80,80,1.0
12,5f3ba61e3fd5b671b22000f5,5f3ba61e3fd5b671b22003fa,1,/,/,0.3636363636363636,0.3333333333333333,/,1.0,/,/,/,1.0,80,80,1.0
13,5f3ba61e3fd5b671b22000f5,5f3ba61e3fd5b671b220045a,1,/,/,0.5,0.4,/,1.0,/,/,/,1.0,80,80,1.0
14,5f3ba61e3fd5b671b22000df,5f3ba61e3fd5b671b22003fa,1,/,/,0.3636363636363636,0.3333333333333333,/,1.0,/,/,/,1.0,80,80,1.0
15,5f3ba61e3fd5b671b22000df,5f3ba61e3fd5b671b220045a,1,/,/,0.5,0.4,/,1.0,/,/,/,1.0,80,80,1.0
16,5f3ba61e3fd5b671b22000fd,5f3ba61e3fd5b671b22003fa,1,/,/,0.3636363636363636,0.3333333333333333,/,1.0,/,/,/,1.0,80,80,1.0
17,5f3ba61e3fd5b671b22000fd,5f3ba61e3fd5b671b220045a,1,/,/,0.5,0.4,/,1.0,/,/,/,1.0,80,80,1.0
18,5f3ba61e3fd5b671b22000d2,5f3ba61e3fd5b671b220041d,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,110,110,1.0
19,5f3ba61e3fd5b671b22000e8,5f3ba61e3fd5b671b2200425,1,/,/,0.4761904761904761,0.1,/,0.04761904761904767,0.5767195767195769,0.1472868217054265,0,0.0,,,0.0
20,5f3ba61e3fd5b671b22000e8,5f3ba61e3fd5b671b2200444,1,/,/,0.4761904761904761,0.1,/,0.04761904761904767,0.5767195767195769,0.1472868217054265,0,0.0,,,0.0
21,5f3ba61e3fd5b671b22000e8,5f3ba61e3fd5b671b220042f,1,/,/,0.6666666666666666,0.8333333333333334,/,1.0,1.0,1.0,1.0,1.0,184,184,1.0
22,5f3ba61e3fd5b671b22000eb,5f3ba61e3fd5b671b22003f5,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
23,5f3ba61e3fd5b671b22000eb,5f3ba61e3fd5b671b220041f,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
24,5f3ba61e3fd5b671b22000eb,5f3ba61e3fd5b671b22003ca,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
25,5f3ba61e3fd5b671b2200157,5f3ba61e3fd5b671b22003f5,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
26,5f3ba61e3fd5b671b2200157,5f3ba61e3fd5b671b220041f,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
27,5f3ba61e3fd5b671b2200157,5f3ba61e3fd5b671b22003ca,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
28,5f3ba61e3fd5b671b22000e9,5f3ba61e3fd5b671b22003f5,1,/,/,0.6428571428571429,0.0,/,0,0.7701149425287359,0.08045977011494265,0,0.3333333333333333,,,0.0
29,5f3ba61e3fd5b671b22000e9,5f3ba61e3fd5b671b220041f,1,/,/,0.6428571428571429,0.0,/,0,0.7701149425287359,0.08045977011494265,0,0.3333333333333333,,,0.0
30,5f3ba61e3fd5b671b22000e9,5f3ba61e3fd5b671b22003ca,1,/,/,0.6428571428571429,0.0,/,0,0.7701149425287359,0.08045977011494265,0,0.3333333333333333,,,0.0
31,5f3ba61e3fd5b671b2200108,5f3ba61e3fd5b671b22003f5,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
32,5f3ba61e3fd5b671b2200108,5f3ba61e3fd5b671b220041f,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
33,5f3ba61e3fd5b671b2200108,5f3ba61e3fd5b671b22003ca,1,/,/,0.8275862068965517,1.0,/,1.0,0.9694189602446485,1.0,1.0,0.3333333333333333,113,113,1.0
34,5f3ba61e3fd5b671b22000f7,5f3ba61e3fd5b671b2200429,1,/,/,0.4375,0.1666666666666666,/,0.43333333333333357,/,/,/,1.0,,,0.0
35,5f3ba61e3fd5b671b22000f7,5f3ba61e3fd5b671b220040c,1,/,/,0.5,0.4,/,1.0,1.0,1.0,0,1.0,108,108,1.0
36,5f3ba61e3fd5b671b22000f7,5f3ba61e3fd5b671b22003d8,1,/,/,0.5,0.4,/,1.0,1.0,1.0,0,1.0,108,108,1.0
37,5f3ba61e3fd5b671b220014c,5f3ba61e3fd5b671b2200429,1,/,/,0.4375,0.1666666666666666,/,0.43333333333333357,/,/,/,1.0,,,0.0
38,5f3ba61e3fd5b671b220014c,5f3ba61e3fd5b671b220040c,1,/,/,0.5,0.4,/,1.0,1.0,1.0,0,1.0,108,108,1.0
39,5f3ba61e3fd5b671b220014c,5f3ba61e3fd5b671b22003d8,1,/,/,0.5,0.4,/,1.0,1.0,1.0,0,1.0,108,108,1.0
40,5f3ba61e3fd5b671b220013c,5f3ba61e3fd5b671b2200429,1,/,/,0.5,0.4,/,1.0,/,/,/,0.3333333333333333,204,204,1.0
41,5f3ba61e3fd5b671b220013c,5f3ba61e3fd5b671b220040c,1,/,/,0.4375,0.1666666666666666,/,0.43333333333333357,0,0,0,0.3333333333333333,,,0.0
42,5f3ba61e3fd5b671b220013c,5f3ba61e3fd5b671b22003d8,1,/,/,0.4375,0.1666666666666666,/,0.43333333333333357,0,0,0,0.3333333333333333,,,0.0
43,5f3ba61e3fd5b671b2200106,5f3ba61e3fd5b671b22003fe,1,/,/,0.3225806451612903,0.2,/,/,/,/,/,1.0,,,0.0
44,5f3ba61e3fd5b671b2200106,5f3ba61e3fd5b671b22003e6,1,/,/,0.5,0.4,/,/,/,/,/,1.0,23,23,1.0
45,5f3ba61e3fd5b671b22000fc,5f3ba61e3fd5b671b22003fe,1,/,/,0.4666666666666667,0.25,/,/,/,/,/,1.0,1070,1070,1.0
46,5f3ba61e3fd5b671b22000fc,5f3ba61e3fd5b671b22003e6,1,/,/,0.3225806451612903,0.2,/,/,/,/,/,1.0,,,0.0
47,5f3ba61e3fd5b671b220010f,5f3ba61e3fd5b671b22003bc,1,/,/,0.3529411764705882,0.2857142857142857,/,1.0,1.0,1.0,0.6813725490196079,1.0,668,668,1.0
48,5f3ba61e3fd5b671b220011b,5f3ba61e3fd5b671b22003bf,1,/,/,0.7692307692307693,1.0,/,1.0,/,/,/,1.0,69,69,1.0
49,5f3ba61e3fd5b671b220011b,5f3ba61e3fd5b671b2200452,1,/,/,0.5,0.125,/,0.014084507042253724,/,/,/,0.0,,,0.0
50,5f3ba61e3fd5b671b220011e,5f3ba61e3fd5b671b2200416,1,/,/,0.9,1.0,/,1.0,1.0,0.9588477366255146,0.4814814814814815,1.0,190,190,1.0
51,5f3ba61e3fd5b671b2200111,5f3ba61e3fd5b671b2200416,1,/,/,0.9,1.0,/,1.0,1.0,0.9588477366255146,0.4814814814814815,1.0,190,190,1.0
52,5f3ba61e3fd5b671b220011f,5f3ba61e3fd5b671b220040b,1,/,/,0.5,0.0,/,0,/,/,0,1.0,,,0.0
53,5f3ba61e3fd5b671b220011f,5f3ba61e3fd5b671b2200441,1,/,/,0.5,0.0,/,0,/,/,0,1.0,,,0.0
