,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba6223fd5b671b2205599,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,22,22,1.0
1,5f3ba61e3fd5b671b22000e7,5f3ba6223fd5b671b2205599,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,22,22,1.0
2,5f3ba61e3fd5b671b22000d4,5f3ba6223fd5b671b2205599,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,22,22,1.0
3,5f3ba61e3fd5b671b2200136,5f3ba6223fd5b671b2205599,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,22,22,1.0
4,5f3ba61e3fd5b671b22000c5,5f3ba6223fd5b671b2205599,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,22,22,1.0
5,5f3ba61e3fd5b671b22000d1,5f3ba6213fd5b671b22054ce,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,/,80,80,1.0
6,5f3ba61e3fd5b671b22000f5,5f3ba6213fd5b671b22054ce,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,/,80,80,1.0
7,5f3ba61e3fd5b671b22000df,5f3ba6213fd5b671b22054ce,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,/,80,80,1.0
8,5f3ba61e3fd5b671b22000fd,5f3ba6213fd5b671b22054ce,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,/,80,80,1.0
9,5f3ba61e3fd5b671b22000d2,5f3ba6223fd5b671b2205590,1,/,/,0.4571428571428571,0.1428571428571428,/,0,0.41666666666666663,0.2512077294685987,0,1.0,,,0.0
10,5f3ba61e3fd5b671b22000d2,5f3ba6223fd5b671b22055b2,1,/,/,1.0,1.0,/,1.0,/,/,/,/,110,110,1.0
11,5f3ba61e3fd5b671b22000d6,5f3ba6223fd5b671b2205570,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,66,66,1.0
12,5f3ba61e3fd5b671b22000f2,5f3ba6223fd5b671b2205570,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,66,66,1.0
13,5f3ba61e3fd5b671b2200118,5f3ba6223fd5b671b2205570,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,66,66,1.0
14,5f3ba61e3fd5b671b2200137,5f3ba6223fd5b671b2205570,1,/,/,1.0,1.0,/,1.0,/,/,/,1.0,66,66,1.0
15,5f3ba61e3fd5b671b22000e8,5f3ba6213fd5b671b22054f6,1,/,/,0.8695652173913043,0.1666666666666666,/,0,/,/,/,0.1,,,0.0
16,5f3ba61e3fd5b671b22000e8,5f3ba6223fd5b671b220559e,1,/,/,1.0,0.4,/,1.0,/,/,/,/,184,184,1.0
17,5f3ba61e3fd5b671b22000f7,5f3ba6223fd5b671b220558f,1,/,/,0.6666666666666666,0.25,/,0,0,0.9289617486338804,0,0.25,,,0.0
18,5f3ba61e3fd5b671b22000f7,5f3ba6223fd5b671b22055e0,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,/,108,108,1.0
19,5f3ba61e3fd5b671b22000f7,5f3ba6223fd5b671b220558a,1,/,/,0.7804878048780488,0.3333333333333333,/,0.43333333333333357,/,/,/,0.3333333333333333,,,0.0
20,5f3ba61e3fd5b671b220014c,5f3ba6223fd5b671b220558f,1,/,/,0.6666666666666666,0.25,/,0,0,0.9289617486338804,0,0.25,,,0.0
21,5f3ba61e3fd5b671b220014c,5f3ba6223fd5b671b22055e0,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,/,108,108,1.0
22,5f3ba61e3fd5b671b220014c,5f3ba6223fd5b671b220558a,1,/,/,0.7804878048780488,0.3333333333333333,/,0.43333333333333357,/,/,/,0.3333333333333333,,,0.0
23,5f3ba61e3fd5b671b220013c,5f3ba6223fd5b671b220558f,1,/,/,0.6666666666666666,0.25,/,0,0.37209302325581406,0,0,0.2,,,0.0
24,5f3ba61e3fd5b671b220013c,5f3ba6223fd5b671b22055e0,1,/,/,0.7804878048780488,0.3333333333333333,/,0.43333333333333357,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b220013c,5f3ba6223fd5b671b220558a,1,/,/,0.8292682926829268,1.0,/,1.0,/,/,/,0.5384615384615384,204,204,1.0
26,5f3ba61e3fd5b671b2200106,5f3ba6213fd5b671b22054f9,1,/,/,0.7,0.5,/,/,0.9911738746690205,0.9796126401630985,1.0,/,,,0.0
27,5f3ba61e3fd5b671b2200106,5f3ba6213fd5b671b220555e,1,/,/,0.5,1.0,/,/,/,/,/,1.0,23,23,1.0
28,5f3ba61e3fd5b671b22000fc,5f3ba6213fd5b671b22054f9,1,/,/,0.8205128205128205,1.0,/,/,0.9911738746690205,0.9796126401630985,1.0,/,1070,1070,1.0
29,5f3ba61e3fd5b671b22000fc,5f3ba6213fd5b671b220555e,1,/,/,0.3225806451612903,0.5,/,/,/,/,/,1.0,,,0.0
30,5f3ba61e3fd5b671b220010f,5f3ba6213fd5b671b22054b6,1,/,/,0.7142857142857143,0.3333333333333333,/,1.0,/,/,/,0.08,668,668,1.0
31,5f3ba61e3fd5b671b220010f,5f3ba6223fd5b671b22055ac,1,/,/,0.7804878048780488,0.3333333333333333,/,0,0.515432098765432,0.44444444444444453,0,0.25,,,0.0
32,5f3ba61e3fd5b671b220011b,5f3ba6213fd5b671b220553e,1,/,/,0.8181818181818182,0.0,/,0.014084507042253724,0.8511326860841422,0.6344086021505378,0.5098039215686274,/,,,0.0
33,5f3ba61e3fd5b671b220011b,5f3ba6223fd5b671b2205595,1,/,/,0.8181818181818182,0.0,/,0.014084507042253724,0.7022653721682843,0.5430107526881718,0,/,,,0.0
34,5f3ba61e3fd5b671b220011b,5f3ba6213fd5b671b22054b7,1,/,/,0.8181818181818182,0.0,/,0.033333333333333215,0.8705501618122976,0.8602150537634405,0.23529411764705876,0.0,,,0.0
35,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b22054f8,1,/,/,0.5,0.0,/,/,0.5964912280701756,0.12962962962962976,0,0.25,,,0.0
36,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b22054f5,1,/,/,0.6857142857142857,0.0,/,0,0.37092731829573944,0,0,0.3333333333333333,,,0.0
37,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b22054df,1,/,/,0.5,0.0,/,/,/,/,/,0.25,,,0.0
38,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b22054e2,1,/,/,0.5,0.0,/,/,/,/,/,0.25,,,0.0
39,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b2205548,1,/,/,0.4666666666666667,0.0,/,/,/,/,/,0.25,,,0.0
40,5f3ba61e3fd5b671b220011f,5f3ba6223fd5b671b22055e7,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
41,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b22054d8,1,/,/,0.8,0.0,/,0,/,/,/,0.3333333333333333,,,0.0
42,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b22054f8,1,/,/,0.4827586206896552,0.0,/,/,0.5181066438551466,0.5739348370927315,0,0.25,,,0.0
43,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b22054f5,1,/,/,0.7222222222222222,0.0,/,1.0,0.7559468643805991,0.8102981029810296,0.7185185185185186,0.3333333333333333,,,0.0
44,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b22054df,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.25,,,0.0
45,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b22054e2,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.25,,,0.0
46,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b2205548,1,/,/,0.4516129032258064,0.0,/,/,/,/,/,0.25,,,0.0
47,5f3ba61e3fd5b671b2200151,5f3ba6223fd5b671b22055e7,1,/,/,0.6206896551724138,1.0,/,/,/,/,/,/,47,47,1.0
48,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b22054d8,1,/,/,0.7222222222222222,0.0,/,0,/,/,/,0.3333333333333333,,,0.0
49,5f3ba61e3fd5b671b22000f4,5f3ba6213fd5b671b22054f8,1,/,/,0.4827586206896552,0.0,/,/,0.5181066438551466,0.5739348370927315,0,0.25,,,0.0
50,5f3ba61e3fd5b671b22000f4,5f3ba6213fd5b671b22054f5,1,/,/,0.7222222222222222,0.0,/,1.0,0.7559468643805991,0.8102981029810296,0.7185185185185186,0.3333333333333333,,,0.0
51,5f3ba61e3fd5b671b22000f4,5f3ba6213fd5b671b22054df,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.25,,,0.0
52,5f3ba61e3fd5b671b22000f4,5f3ba6213fd5b671b22054e2,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.25,,,0.0
53,5f3ba61e3fd5b671b22000f4,5f3ba6213fd5b671b2205548,1,/,/,0.4516129032258064,0.0,/,/,/,/,/,0.25,,,0.0
54,5f3ba61e3fd5b671b22000f4,5f3ba6223fd5b671b22055e7,1,/,/,0.6206896551724138,1.0,/,/,/,/,/,/,47,47,1.0
55,5f3ba61e3fd5b671b22000f4,5f3ba6213fd5b671b22054d8,1,/,/,0.7222222222222222,0.0,/,0,/,/,/,0.3333333333333333,,,0.0
56,5f3ba61e3fd5b671b2200125,5f3ba6213fd5b671b22054b8,1,/,/,0.4615384615384615,0.5,/,/,/,/,/,0.09523809523809523,,,0.0
57,5f3ba61e3fd5b671b2200125,5f3ba6213fd5b671b220555d,1,/,/,0.303030303030303,0.2,/,/,0.32010582010582,0.18468468468468446,0,/,,,0.0
58,5f3ba61e3fd5b671b2200125,5f3ba6223fd5b671b2205588,1,/,/,0.375,0.6666666666666666,/,/,/,/,/,1.0,,,0.0
59,5f3ba61e3fd5b671b2200102,5f3ba6213fd5b671b22054b8,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,0.09523809523809523,185,185,1.0
60,5f3ba61e3fd5b671b2200102,5f3ba6213fd5b671b220555d,1,/,/,0.6,0.2,/,/,0.29921259842519676,0.18468468468468446,0,/,,,0.0
61,5f3ba61e3fd5b671b2200102,5f3ba6223fd5b671b2205588,1,/,/,0.7692307692307693,0.6666666666666666,/,/,/,/,/,1.0,,,0.0
62,5f3ba61e3fd5b671b2200104,5f3ba6213fd5b671b22054b8,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,0.09523809523809523,185,185,1.0
63,5f3ba61e3fd5b671b2200104,5f3ba6213fd5b671b220555d,1,/,/,0.6,0.2,/,/,0.29921259842519676,0.18468468468468446,0,/,,,0.0
64,5f3ba61e3fd5b671b2200104,5f3ba6223fd5b671b2205588,1,/,/,0.7692307692307693,0.6666666666666666,/,/,/,/,/,1.0,,,0.0
65,5f3ba61e3fd5b671b22000d3,5f3ba6213fd5b671b22054b8,1,/,/,0.4615384615384615,0.5,/,/,/,/,/,0.09523809523809523,,,0.0
66,5f3ba61e3fd5b671b22000d3,5f3ba6213fd5b671b220555d,1,/,/,0.303030303030303,0.2,/,/,0.32010582010582,0.18468468468468446,0,/,,,0.0
67,5f3ba61e3fd5b671b22000d3,5f3ba6223fd5b671b2205588,1,/,/,0.375,0.6666666666666666,/,/,/,/,/,1.0,,,0.0
68,5f3ba61e3fd5b671b2200148,5f3ba6213fd5b671b22054d1,1,/,/,1.0,0.5,/,1.0,/,/,/,0.12,313,313,1.0
69,5f3ba61e3fd5b671b2200149,5f3ba6223fd5b671b22055db,1,/,/,1.0,1.0,/,1.0,/,/,/,/,97,97,1.0
70,5f3ba61e3fd5b671b22000dc,5f3ba6223fd5b671b22055db,1,/,/,1.0,1.0,/,1.0,/,/,/,/,97,97,1.0
71,5f3ba61e3fd5b671b22000da,5f3ba6223fd5b671b22055db,1,/,/,1.0,1.0,/,1.0,/,/,/,/,97,97,1.0
72,5f3ba61e3fd5b671b2200150,5f3ba6213fd5b671b220550f,1,/,/,1.0,1.0,/,1.0,/,/,/,/,164,164,1.0
73,5f3ba61e3fd5b671b220012c,5f3ba6213fd5b671b220550f,1,/,/,1.0,1.0,/,1.0,/,/,/,/,164,164,1.0
74,5f3ba61e3fd5b671b22000e3,5f3ba6213fd5b671b220550f,1,/,/,1.0,1.0,/,1.0,/,/,/,/,164,164,1.0
75,5f3ba61e3fd5b671b2200153,5f3ba6213fd5b671b220554b,1,/,/,0.8648648648648649,0.0,/,1.0,/,/,/,1.0,168,168,1.0
76,5f3ba61e3fd5b671b2200138,5f3ba6213fd5b671b220554b,1,/,/,0.8648648648648649,0.0,/,1.0,/,/,/,1.0,168,168,1.0
77,5f3ba61e3fd5b671b22000d0,5f3ba6213fd5b671b22054a3,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,1.0,,,0.0
78,5f3ba61e3fd5b671b22000d0,5f3ba6223fd5b671b2205577,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,1.0,,,0.0
79,5f3ba61e3fd5b671b22000d0,5f3ba6223fd5b671b2205586,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,1.0,,,0.0
80,5f3ba61e3fd5b671b22000d0,5f3ba6213fd5b671b2205525,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,1.0,,,0.0
