,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000d1,5f3ba6213fd5b671b220524c,1,/,/,0.5,0.4,/,/,/,/,/,0.17647058823529413,80,80,1.0
1,5f3ba61e3fd5b671b22000e8,5f3ba6213fd5b671b2205232,1,/,/,0.8372093023255814,0.4,/,/,/,/,/,1.0,184,184,1.0
2,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b22051ea,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,0.5384615384615384,,,0.0
3,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2205200,1,/,/,1.0,1.0,/,/,/,/,/,0.5384615384615384,113,113,1.0
4,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2205226,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b22051ea,1,/,/,1.0,1.0,/,/,/,/,/,0.5384615384615384,624,624,1.0
6,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2205200,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,0.5384615384615384,,,0.0
7,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2205226,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200106,5f3ba6213fd5b671b22051d7,1,/,/,1.0,1.0,/,/,/,/,/,0.2857142857142857,23,23,1.0
9,5f3ba61e3fd5b671b22000fc,5f3ba6213fd5b671b22051d7,1,/,/,0.8648648648648649,0.5,/,/,/,/,/,0.2857142857142857,,,0.0
10,5f3ba61e3fd5b671b220010b,5f3ba6213fd5b671b220522c,1,/,/,0.7804878048780488,0.75,/,/,/,/,/,0.3333333333333333,38,38,1.0
11,5f3ba61e3fd5b671b220011b,5f3ba6213fd5b671b2205254,1,/,/,0.5,0.125,/,/,/,/,/,0.0,,,0.0
12,5f3ba61e3fd5b671b220011e,5f3ba6213fd5b671b2205205,1,/,/,0.9,1.0,/,/,/,/,/,1.0,190,190,1.0
13,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b2205210,1,/,/,0.5,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
14,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b2205238,1,/,/,0.8823529411764706,1.0,/,/,/,/,/,0.3333333333333333,147,147,1.0
15,5f3ba61e3fd5b671b220011f,5f3ba6213fd5b671b2205224,1,/,/,0.6428571428571429,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
16,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b2205210,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
17,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b2205238,1,/,/,0.6857142857142857,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
18,5f3ba61e3fd5b671b2200151,5f3ba6213fd5b671b2205224,1,/,/,0.4827586206896552,0.0,/,/,/,/,/,0.3333333333333333,,,0.0
19,5f3ba61e3fd5b671b2200125,5f3ba6213fd5b671b2205261,1,/,/,0.303030303030303,0.2,/,/,/,/,/,1.0,,,0.0
20,5f3ba61e3fd5b671b2200102,5f3ba6213fd5b671b2205261,1,/,/,0.65,0.2,/,/,/,/,/,1.0,,,0.0
21,5f3ba61e3fd5b671b22000d0,5f3ba6213fd5b671b22051de,1,/,/,1.0,1.0,/,1.0,0,0,0.5820407801418439,0.3333333333333333,141,141,1.0
22,5f3ba61e3fd5b671b22000e6,5f3ba6213fd5b671b220527b,1,/,/,0.8947368421052632,1.0,/,/,/,/,/,1.0,820,820,1.0
23,5f3ba61e3fd5b671b22000fb,5f3ba6213fd5b671b2205250,1,/,/,0.5806451612903226,0.5,/,/,0,0,0,1.0,,,0.0
24,5f3ba61e3fd5b671b220011c,5f3ba6213fd5b671b220527f,1,/,/,0.8372093023255814,0.5,/,/,/,/,/,0.25,17,17,1.0
25,5f3ba61e3fd5b671b220012b,5f3ba6213fd5b671b22051f6,1,/,/,1.0,1.0,/,/,/,/,/,0.3333333333333333,136,136,1.0
26,5f3ba61e3fd5b671b22000ca,5f3ba6213fd5b671b22051d0,1,/,/,1.0,1.0,/,1.0,0,0,0.6131034644194754,0.3333333333333333,189,189,1.0
27,5f3ba61e3fd5b671b22000dd,5f3ba6213fd5b671b220521a,1,/,/,1.0,1.0,/,/,/,/,/,0.3333333333333333,118,118,1.0
28,5f3ba61e3fd5b671b2200128,5f3ba6213fd5b671b2205266,1,/,/,1.0,1.0,/,/,/,/,/,0.5384615384615384,174,174,1.0
29,5f3ba61e3fd5b671b2200129,5f3ba6213fd5b671b22051fa,1,/,/,1.0,1.0,/,1.0,0,0,0.9960363173582382,1.0,124,124,1.0
