,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba6213fd5b671b2204e14,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
1,5f3ba61e3fd5b671b22000d1,5f3ba6213fd5b671b2204cec,1,/,/,0.8292682926829268,0.4,/,/,/,/,/,/,80,80,1.0
2,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b2204e79,1,/,/,0.4571428571428571,0.1428571428571428,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b22000d2,5f3ba6213fd5b671b2204d8e,1,/,/,1.0,1.0,/,/,/,/,/,/,110,110,1.0
4,5f3ba61e3fd5b671b22000d6,5f3ba6213fd5b671b2204d93,1,/,/,1.0,1.0,/,/,/,/,/,/,66,66,1.0
5,5f3ba61e3fd5b671b22000d9,5f3ba6213fd5b671b2204f4c,/,/,/,0.56,1.0,/,/,/,/,/,/,910,910,1.0
6,5f3ba61e3fd5b671b220010c,5f3ba6213fd5b671b2204f4c,/,/,/,0.3888888888888889,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204e77,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204d5a,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204cd4,1,/,/,0.4848484848484848,0.0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204d3c,1,/,/,0.4848484848484848,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204db0,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204d84,1,/,/,0.8275862068965517,1.0,/,/,/,/,/,/,113,113,1.0
13,5f3ba61e3fd5b671b22000eb,5f3ba6213fd5b671b2204dae,1,/,/,0.4705882352941176,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204e77,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204d5a,1,/,/,1.0,1.0,/,/,/,/,/,/,624,624,1.0
16,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204cd4,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204d3c,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204db0,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204d84,1,/,/,0.6428571428571429,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b22000e9,5f3ba6213fd5b671b2204dae,1,/,/,0.4848484848484848,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b22000f7,5f3ba6213fd5b671b2204f86,1,/,/,0.7804878048780488,0.1666666666666666,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b22000f7,5f3ba6213fd5b671b2204ec7,1,/,/,0.8292682926829268,0.4,/,/,/,/,/,/,108,108,1.0
23,5f3ba61e3fd5b671b22000f7,5f3ba6213fd5b671b2204f24,1,/,/,0.7804878048780488,0.1666666666666666,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b22000f7,5f3ba6213fd5b671b2204f27,1,/,/,0.6666666666666666,0.1428571428571428,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b220013c,5f3ba6213fd5b671b2204f86,1,/,/,0.8292682926829268,0.4,/,/,/,/,/,/,204,204,1.0
26,5f3ba61e3fd5b671b220013c,5f3ba6213fd5b671b2204ec7,1,/,/,0.7804878048780488,0.1666666666666666,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b220013c,5f3ba6213fd5b671b2204f24,1,/,/,0.7804878048780488,0.1666666666666666,/,/,/,/,/,/,,,0.0
